case,split,cores,baseline_no_l2_makespan_cycles,baseline_l2_makespan_cycles,final_no_l2_makespan_cycles,final_l2_makespan_cycles,hardware_baseline_ratio,hardware_final_ratio,schedule_no_l2_ratio,schedule_l2_ratio,l2_strict_improvement
case_055,holdout,5,40899,34895,38486,33956,1.1720590342455939,1.1334079396866532,1.0626981239931403,1.0276534338555778,True
case_056,holdout,1,277285,277285,277285,277285,1.0,1.0,1.0,1.0,False
case_056,holdout,2,188576,188576,186986,186986,1.0,1.0,1.008503310408266,1.008503310408266,True
case_056,holdout,3,150152,150152,149107,149107,1.0,1.0,1.0070083899481581,1.0070083899481581,True
case_056,holdout,4,135157,135060,134889,134333,1.0007181993188212,1.0041389680867694,1.0019868187917473,1.0054119240990673,True
case_056,holdout,5,135157,135060,134889,134333,1.0007181993188212,1.0041389680867694,1.0019868187917473,1.0054119240990673,True
case_057,holdout,1,59726,59726,59726,59726,1.0,1.0,1.0,1.0,False
case_057,holdout,2,31115,31115,31151,30104,1.0,1.03477943130481,0.998844338865526,1.033583576933298,True
case_057,holdout,3,21456,21456,21456,21456,1.0,1.0,1.0,1.0,False
case_057,holdout,4,17084,16621,16936,16619,1.0278563263341556,1.0190745532222156,1.0087387812942843,1.0001203441843673,True
case_057,holdout,5,17084,16621,16936,16619,1.0278563263341556,1.0190745532222156,1.0087387812942843,1.0001203441843673,True
case_058,development,1,4539717,4539717,4539717,4539717,1.0,1.0,1.0,1.0,False
case_058,development,2,3633043,3629895,3625929,3621089,1.0008672427163872,1.0013366144825493,1.0019619799505175,1.002431865110192,True
case_058,development,3,1506765,1506765,1506765,1506765,1.0,1.0,1.0,1.0,False
case_058,development,4,1506765,1506765,1506765,1506765,1.0,1.0,1.0,1.0,False
case_058,development,5,915736,915736,915736,915736,1.0,1.0,1.0,1.0,False
case_059,validation,1,829473,815938,829473,815938,1.0165882701871956,1.0165882701871956,1.0,1.0,False
case_059,validation,2,421538,410916,421538,410916,1.0258495653612905,1.0258495653612905,1.0,1.0,False
case_059,validation,3,351835,351835,351835,351835,1.0,1.0,1.0,1.0,False
case_059,validation,4,185216,185216,185216,185216,1.0,1.0,1.0,1.0,False
case_059,validation,5,185216,185216,185216,185216,1.0,1.0,1.0,1.0,False
case_060,validation,1,888789,887801,888789,887801,1.001112862003985,1.001112862003985,1.0,1.0,False
case_060,validation,2,525020,524719,525020,524719,1.000573640367511,1.000573640367511,1.0,1.0,False
case_060,validation,3,427646,427594,423771,423570,1.000121610686773,1.0004745378567887,1.009144089614438,1.0095002006752132,True
case_060,validation,4,348983,348914,348983,348914,1.0001977564672098,1.0001977564672098,1.0,1.0,False
case_060,validation,5,306965,306436,276763,274503,1.0017262984766804,1.0082330612051598,1.1091258585865886,1.1163302404709603,True
case_061,holdout,1,77191,77191,77191,77191,1.0,1.0,1.0,1.0,False
case_061,holdout,2,47435,47337,46314,46314,1.0020702621627902,1.0,1.0242043442587554,1.0220883534136547,True
case_061,holdout,3,37105,36521,33560,33172,1.0159907998138058,1.0116966116001447,1.105631704410012,1.1009586398167128,True
case_061,holdout,4,33361,31205,33561,30975,1.0690914917481174,1.0834866828087166,0.9940407020053038,1.0074253430185633,True
case_061,holdout,5,32921,30639,32921,30639,1.074480237605666,1.074480237605666,1.0,1.0,False
case_062,validation,1,2854809,2854809,2854809,2854809,1.0,1.0,1.0,1.0,False
case_062,validation,2,1784824,1784824,1784824,1784824,1.0,1.0,1.0,1.0,False
case_062,validation,3,1189955,1189955,1189955,1189955,1.0,1.0,1.0,1.0,False
case_062,validation,4,892782,892782,892170,892170,1.0,1.0,1.000685967920912,1.000685967920912,True
case_062,validation,5,715381,715381,715381,715381,1.0,1.0,1.0,1.0,False
case_063,holdout,1,1070397,1070397,1070397,1070397,1.0,1.0,1.0,1.0,False
case_063,holdout,2,663139,663139,637833,637833,1.0,1.0,1.0396749619414487,1.0396749619414487,True
case_063,holdout,3,446447,446447,446447,446447,1.0,1.0,1.0,1.0,False
case_063,holdout,4,335694,335694,335694,335694,1.0,1.0,1.0,1.0,False
case_063,holdout,5,266761,266761,266761,266761,1.0,1.0,1.0,1.0,False
case_064,development,1,19116,19116,19116,19116,1.0,1.0,1.0,1.0,False
case_064,development,2,14237,14233,13973,13970,1.0002810370266282,1.0002147458840371,1.0188935804766335,1.01882605583393,True
case_064,development,3,12510,12510,11582,11582,1.0,1.0,1.0801243308582282,1.0801243308582282,True
case_064,development,4,11821,11821,11821,11821,1.0,1.0,1.0,1.0,False
case_064,development,5,11821,11821,11821,11821,1.0,1.0,1.0,1.0,False
case_065,validation,1,53068,53068,53068,53068,1.0,1.0,1.0,1.0,False
case_065,validation,2,29524,29065,29679,29025,1.0157921899191467,1.022532299741602,0.9947774520704875,1.0013781223083549,True
case_065,validation,3,20797,20606,20797,20606,1.0092691449092497,1.0092691449092497,1.0,1.0,False
case_065,validation,4,19058,17844,19058,17844,1.0680340730777853,1.0680340730777853,1.0,1.0,False
case_065,validation,5,19058,17844,19058,17844,1.0680340730777853,1.0680340730777853,1.0,1.0,False
case_066,holdout,1,359070,359070,359070,359070,1.0,1.0,1.0,1.0,False
case_066,holdout,2,185656,185656,185656,185656,1.0,1.0,1.0,1.0,False
case_066,holdout,3,132398,132382,131565,131549,1.0001208623528879,1.0001216276824605,1.0063314711359403,1.0063322412181013,True
case_066,holdout,4,102860,102232,99281,98861,1.0061428906800218,1.0042483891524463,1.0360491937027225,1.0340983805545159,True
case_066,holdout,5,94032,91786,94034,91786,1.0244699627394156,1.0244917525548558,0.9999787310972627,1.0,False
case_067,development,1,63834834,63834834,63834834,63834834,1.0,1.0,1.0,1.0,False
case_067,development,2,31892152,32130317,31927211,32116988,0.9925875303377804,0.9940910710556046,0.9989019084692364,1.0004150140106538,True
case_067,development,3,21738388,21555677,21738388,21555677,1.0084762357498676,1.0084762357498676,1.0,1.0,False
case_067,development,4,16654103,16060080,16654103,16060080,1.0369875492525567,1.0369875492525567,1.0,1.0,False
case_067,development,5,13549289,12878522,13549289,12878522,1.052084159968046,1.052084159968046,1.0,1.0,False
case_068,holdout,1,362095,362095,362095,362095,1.0,1.0,1.0,1.0,False
case_068,holdout,2,204037,203899,204037,203899,1.0006768056733972,1.0006768056733972,1.0,1.0,False
case_068,holdout,3,165324,164663,165163,164614,1.0040142594268293,1.0033350747810028,1.0009747945968528,1.000297666055135,True
case_068,holdout,4,137870,136482,137870,136354,1.010169839246201,1.0111181190137437,1.0,1.0009387330037989,True
case_068,holdout,5,137870,136482,137870,136354,1.010169839246201,1.0111181190137437,1.0,1.0009387330037989,True
case_069,holdout,1,25144,25144,25144,25144,1.0,1.0,1.0,1.0,False
case_069,holdout,2,16328,16323,16293,16288,1.0003063162408872,1.000306974459725,1.0021481617872705,1.0021488212180747,True
case_069,holdout,3,13774,13740,13774,13740,1.0024745269286754,1.0024745269286754,1.0,1.0,False
case_069,holdout,4,13774,13740,13774,13740,1.0024745269286754,1.0024745269286754,1.0,1.0,False
case_069,holdout,5,13774,13740,13774,13740,1.0024745269286754,1.0024745269286754,1.0,1.0,False
case_070,holdout,1,117300,117300,117300,117300,1.0,1.0,1.0,1.0,False
case_070,holdout,2,68604,68584,66039,65978,1.0002916132042459,1.0009245506077784,1.0388406850497434,1.0394980144896784,True
case_070,holdout,3,46238,45534,46443,45112,1.0154609742170686,1.0295043447419756,0.9955859871240015,1.0093544954779217,True
case_070,holdout,4,43948,42676,41860,39492,1.0298059799418877,1.05996151119214,1.0498805542283802,1.080623923832675,True
case_070,holdout,5,40250,37974,40073,37765,1.059935745510086,1.0611147888256323,1.0044169390861677,1.0055342248113333,True
case_071,holdout,1,18919,18919,18919,18919,1.0,1.0,1.0,1.0,False
case_071,holdout,2,13128,13123,12636,12631,1.000381010439686,1.000395851476526,1.0389363722697056,1.038951785290159,True
case_071,holdout,3,10300,10300,10300,10300,1.0,1.0,1.0,1.0,False
case_071,holdout,4,10300,10300,10300,10300,1.0,1.0,1.0,1.0,False
case_071,holdout,5,10300,10300,10300,10300,1.0,1.0,1.0,1.0,False
case_072,holdout,1,23897828,23890756,23897828,23890756,1.000296014073393,1.000296014073393,1.0,1.0,False
case_072,holdout,2,14399738,14391144,14313837,14311602,1.000597172816838,1.0001561670035262,1.0060012559874756,1.0055578683644222,True
case_072,holdout,3,10386946,10386798,10386946,10386798,1.0000142488570587,1.0000142488570587,1.0,1.0,False
case_072,holdout,4,7596894,7583813,7596894,7583813,1.0017248579309643,1.0017248579309643,1.0,1.0,False
case_072,holdout,5,7185795,7185795,7105253,7100083,1.0,1.0007281605017857,1.0113355569463889,1.0120719715530087,True
case_073,holdout,1,10081626,10081626,10081626,10081626,1.0,1.0,1.0,1.0,False
case_073,holdout,2,5343686,5135220,5343686,5135220,1.0405953396349135,1.0405953396349135,1.0,1.0,False
case_073,holdout,3,4326521,4326521,4247382,4269593,1.0,0.9947978648081913,1.0186324187464184,1.0133333551933403,True
case_073,holdout,4,3456740,2699606,3456740,2699606,1.2804609265203886,1.2804609265203886,1.0,1.0,False
case_073,holdout,5,3186716,2798206,3186716,2798206,1.1388425298208924,1.1388425298208924,1.0,1.0,False
case_074,holdout,1,1682239,1678120,1682239,1678120,1.002454532452983,1.002454532452983,1.0,1.0,False
case_074,holdout,2,925398,924834,925398,924834,1.0006098391711378,1.0006098391711378,1.0,1.0,False
case_074,holdout,3,666888,666888,661625,661625,1.0,1.0,1.0079546570942755,1.0079546570942755,True
case_074,holdout,4,527458,527458,526124,526124,1.0,1.0,1.0025355239449256,1.0025355239449256,True
case_074,holdout,5,431365,431365,431365,431365,1.0,1.0,1.0,1.0,False
case_075,holdout,1,1441809,1441809,1441809,1441809,1.0,1.0,1.0,1.0,False
case_075,holdout,2,992854,992854,992854,992854,1.0,1.0,1.0,1.0,False
case_075,holdout,3,933924,933924,933924,933924,1.0,1.0,1.0,1.0,False
case_075,holdout,4,800301,800301,798947,798947,1.0,1.0,1.0016947306892698,1.0016947306892698,True
case_075,holdout,5,751559,751559,751559,751559,1.0,1.0,1.0,1.0,False
case_076,holdout,1,6185113,6183098,6185113,6183098,1.0003258884138664,1.0003258884138664,1.0,1.0,False
case_076,holdout,2,4590971,4589392,4590971,4589392,1.0003440542886726,1.0003440542886726,1.0,1.0,False
case_076,holdout,3,3605984,3601264,3605984,3601264,1.0013106509270078,1.0013106509270078,1.0,1.0,False
case_076,holdout,4,3094752,3092516,3091571,3091221,1.0007230358711159,1.0001132238684973,1.0010289267171932,1.00041892831344,True
case_076,holdout,5,2219114,2191253,2218140,2187949,1.012714643174476,1.013798767704366,1.0004391066388956,1.0015100900432323,True
case_077,holdout,1,495320,495320,495320,495320,1.0,1.0,1.0,1.0,False
case_077,holdout,2,295128,294734,295128,294734,1.0013367986048436,1.0013367986048436,1.0,1.0,False
case_077,holdout,3,218216,218216,216777,216777,1.0,1.0,1.0066381581071793,1.0066381581071793,True
case_077,holdout,4,160028,159524,157022,157044,1.0031593992126577,0.9998599118718321,1.0191438142425902,1.0157917526298361,True
case_077,holdout,5,140814,139967,135443,133298,1.0060514264076532,1.0160917643175442,1.0396550578472126,1.05003075815091,True
case_078,holdout,1,2296143,2296143,2296143,2296143,1.0,1.0,1.0,1.0,False
case_078,holdout,2,1069122,1067021,1069122,1067021,1.0019690334117135,1.0019690334117135,1.0,1.0,False
case_078,holdout,3,717204,711922,717204,711922,1.0074193521200356,1.0074193521200356,1.0,1.0,False
case_078,holdout,4,545355,538711,545355,538711,1.01233314337372,1.01233314337372,1.0,1.0,False
case_078,holdout,5,474566,433085,474566,433085,1.0957802740801459,1.0957802740801459,1.0,1.0,False
case_079,holdout,1,31052251,31052251,31052251,31052251,1.0,1.0,1.0,1.0,False
case_079,holdout,2,15449228,15438610,15449228,15438610,1.0006877562163952,1.0006877562163952,1.0,1.0,False
case_079,holdout,3,10278153,10278153,10278153,10278153,1.0,1.0,1.0,1.0,False
case_079,holdout,4,7688095,7687887,7688095,7687887,1.000027055548553,1.000027055548553,1.0,1.0,False
case_079,holdout,5,7688095,7687887,7688095,7687887,1.000027055548553,1.000027055548553,1.0,1.0,False
case_080,holdout,1,292138,291826,292138,291826,1.0010691302351402,1.0010691302351402,1.0,1.0,False
case_080,holdout,2,190690,190690,187580,187580,1.0,1.0,1.0165795927071117,1.0165795927071117,True
case_080,holdout,3,108282,108144,101509,101509,1.0012760763426543,1.0,1.0667231477011891,1.0653636623353595,True
case_080,holdout,4,108282,108144,101509,101509,1.0012760763426543,1.0,1.0667231477011891,1.0653636623353595,True
case_080,holdout,5,101701,75193,101701,75193,1.3525328155546394,1.3525328155546394,1.0,1.0,False
case_081,holdout,1,151795,151795,151795,151795,1.0,1.0,1.0,1.0,False
case_081,holdout,2,83829,83829,83829,83829,1.0,1.0,1.0,1.0,False
case_081,holdout,3,63616,63387,63616,63387,1.003612728161926,1.003612728161926,1.0,1.0,False
case_081,holdout,4,51008,49373,49887,48576,1.033115265428473,1.0269886363636365,1.0224707839717762,1.016407279314888,True
case_081,holdout,5,46855,43036,45217,42657,1.088739659819686,1.060013596830532,1.0362253134882897,1.00888482546827,True
case_082,validation,1,721041,721041,721041,721041,1.0,1.0,1.0,1.0,False
case_082,validation,2,428639,428638,427139,427139,1.000002332970945,1.0,1.0035117373969598,1.0035093962386952,True
case_082,validation,3,337625,337625,331007,331007,1.0,1.0,1.019993534879927,1.019993534879927,True
case_082,validation,4,267431,267131,267431,267131,1.0011230444987664,1.0011230444987664,1.0,1.0,False
case_082,validation,5,233808,233487,231933,230968,1.001374808875869,1.004178067957466,1.0080842312219478,1.0109062727304214,True
case_083,holdout,1,1057993,946145,1057993,946145,1.1182144385902795,1.1182144385902795,1.0,1.0,False
case_083,holdout,2,438433,438429,438433,438429,1.000009123484076,1.000009123484076,1.0,1.0,False
case_083,holdout,3,298400,294975,292544,292405,1.0116111534875838,1.0004753680682614,1.0200175016407789,1.0087891793915973,True
case_083,holdout,4,226115,220025,221959,220025,1.027678672878082,1.008789910237473,1.0187241787897765,1.0,False
case_083,holdout,5,201312,181015,201312,181015,1.1121288291025606,1.1121288291025606,1.0,1.0,False
case_084,holdout,1,2507412,2507412,2507412,2507412,1.0,1.0,1.0,1.0,False
case_084,holdout,2,1276489,1276489,1275814,1275814,1.0,1.0,1.000529073987274,1.000529073987274,True
case_084,holdout,3,836220,836220,836220,836220,1.0,1.0,1.0,1.0,False
case_084,holdout,4,625992,625992,625992,625992,1.0,1.0,1.0,1.0,False
case_084,holdout,5,501224,501224,501224,501224,1.0,1.0,1.0,1.0,False
case_085,validation,1,3187899,3187899,3187899,3187899,1.0,1.0,1.0,1.0,False
case_085,validation,2,2388498,2388498,2387337,2387337,1.0,1.0,1.0004863159243962,1.0004863159243962,True
case_085,validation,3,2147544,2147360,2147544,2147360,1.0000856866105357,1.0000856866105357,1.0,1.0,False
case_085,validation,4,2023093,2023040,2021932,2021879,1.000026198196773,1.0000262132402582,1.0005742032867575,1.000574218338486,True
case_085,validation,5,1871755,1870896,1871450,1870479,1.000459138295234,1.000519118364868,1.000162975233108,1.0002229375470133,True
case_086,holdout,1,118403,118403,118403,118403,1.0,1.0,1.0,1.0,False
case_086,holdout,2,72293,72139,71337,71279,1.002134767601436,1.0008137038959581,1.0134011803131615,1.0120652646642068,True
case_086,holdout,3,59591,59513,59591,59513,1.001310638011863,1.001310638011863,1.0,1.0,False
case_086,holdout,4,50307,47180,49539,47046,1.0662780839338704,1.0529906899630148,1.0155029370798765,1.0028482761552524,True
case_086,holdout,5,50307,47180,49539,47046,1.0662780839338704,1.0529906899630148,1.0155029370798765,1.0028482761552524,True
case_087,holdout,1,3974071,3969779,3974071,3969779,1.0010811684982968,1.0010811684982968,1.0,1.0,False
case_087,holdout,2,2287771,2287771,2209662,2209662,1.0,1.0,1.0353488452080002,1.0353488452080002,True
case_087,holdout,3,1577719,1577719,1577719,1577719,1.0,1.0,1.0,1.0,False
case_087,holdout,4,1349330,1346575,1349330,1346575,1.0020459313443366,1.0020459313443366,1.0,1.0,False
case_087,holdout,5,1166481,1166481,1164477,1164477,1.0,1.0,1.0017209442522266,1.0017209442522266,True
case_088,holdout,1,243623,243623,243623,243623,1.0,1.0,1.0,1.0,False
case_088,holdout,2,135090,135073,135030,134506,1.0001258578694483,1.0038957369931454,1.0004443457009553,1.0042154253341857,True
case_088,holdout,3,103380,100296,103380,100296,1.0307489830102896,1.0307489830102896,1.0,1.0,False
case_088,holdout,4,89258,82429,88206,80351,1.0828470562544736,1.0977585842117707,1.0119266263066005,1.025861532526042,True
case_088,holdout,5,81894,76993,81894,76993,1.0636551374800307,1.0636551374800307,1.0,1.0,False
case_089,validation,1,693092,693092,693092,693092,1.0,1.0,1.0,1.0,False
case_089,validation,2,339435,339435,339435,339435,1.0,1.0,1.0,1.0,False
case_089,validation,3,226846,226846,226846,226846,1.0,1.0,1.0,1.0,False
case_089,validation,4,170137,170137,170137,170137,1.0,1.0,1.0,1.0,False
case_089,validation,5,137328,137328,137328,137328,1.0,1.0,1.0,1.0,False
case_090,holdout,1,1178363,1178363,1178363,1178363,1.0,1.0,1.0,1.0,False
case_090,holdout,2,457842,457807,457842,457807,1.0000764514304064,1.0000764514304064,1.0,1.0,False
case_090,holdout,3,338995,324546,337258,314383,1.0445206534666889,1.072761567896483,1.0051503596653006,1.0323268115642386,True
case_090,holdout,4,331069,295220,275406,269062,1.1214314748323284,1.023578208739993,1.2021125175195893,1.0972192282819573,True
case_090,holdout,5,331069,295220,275406,269062,1.1214314748323284,1.023578208739993,1.2021125175195893,1.0972192282819573,True
case_091,holdout,1,9186769,9168820,9186769,9168820,1.001957612866214,1.001957612866214,1.0,1.0,False
case_091,holdout,2,5702896,5690664,5702896,5690664,1.002149485543339,1.002149485543339,1.0,1.0,False
case_091,holdout,3,4650425,4645072,4630910,4629475,1.001152404096212,1.0003099703530098,1.004214074555541,1.0033690645267552,True
case_091,holdout,4,4022789,4002793,4007813,3976008,1.0049955118838272,1.0079992293778082,1.0037367012882088,1.00673665646548,True
case_091,holdout,5,3126021,3122835,3125985,3122568,1.001020226813136,1.0010942916215115,1.0000115163700403,1.0000855065446133,True
case_092,validation,1,4815554,4333631,4815554,4333631,1.111205361047122,1.111205361047122,1.0,1.0,False
case_092,validation,2,2015242,2015242,2015242,2015242,1.0,1.0,1.0,1.0,False
case_092,validation,3,1334168,1331907,1334168,1330599,1.0016975659711977,1.0026822506254702,1.0,1.0009830159198978,True
case_092,validation,4,1018974,1018974,1018974,1018974,1.0,1.0,1.0,1.0,False
case_092,validation,5,832577,827744,832577,827744,1.005838761742761,1.005838761742761,1.0,1.0,False
case_093,holdout,1,74205,74205,74205,74205,1.0,1.0,1.0,1.0,False
case_093,holdout,2,45680,45680,45680,45680,1.0,1.0,1.0,1.0,False
case_093,holdout,3,31740,31740,26765,26765,1.0,1.0,1.185877078273865,1.185877078273865,True
case_093,holdout,4,23631,23577,23631,23577,1.0022903677312636,1.0022903677312636,1.0,1.0,False
case_093,holdout,5,20201,19912,19597,19312,1.0145138609883488,1.0147576636288318,1.0308210440373526,1.0310687655343829,True
case_094,holdout,1,94892,94892,94892,94892,1.0,1.0,1.0,1.0,False
case_094,holdout,2,52048,51407,51326,50397,1.012469118991577,1.0184336369228326,1.0140669446284534,1.0200408754489354,True
case_094,holdout,3,38581,36685,37953,36228,1.0516832492844488,1.0476151043391853,1.016546781545596,1.0126145522800045,True
case_094,holdout,4,30467,30467,30467,30467,1.0,1.0,1.0,1.0,False
case_094,holdout,5,26086,26086,25225,25225,1.0,1.0,1.0341328047571854,1.0341328047571854,True
case_095,holdout,1,2084853,2084853,2084853,2084853,1.0,1.0,1.0,1.0,False
case_095,holdout,2,1040351,1040351,1040351,1040351,1.0,1.0,1.0,1.0,False
case_095,holdout,3,693735,693735,693735,693735,1.0,1.0,1.0,1.0,False
case_095,holdout,4,522106,522106,522106,522106,1.0,1.0,1.0,1.0,False
case_095,holdout,5,418656,418656,418656,418656,1.0,1.0,1.0,1.0,False
case_096,holdout,1,84194,84194,84194,84194,1.0,1.0,1.0,1.0,False
case_096,holdout,2,45052,44882,45052,44882,1.0037877099950983,1.0037877099950983,1.0,1.0,False
case_096,holdout,3,36103,36103,35036,35025,1.0,1.0003140613847252,1.0304543897705218,1.0307780157030693,True
case_096,holdout,4,35471,34929,34554,33012,1.0155171920180939,1.0467102871683025,1.0265381721363662,1.0580697928026173,True
case_096,holdout,5,35471,34929,34554,33012,1.0155171920180939,1.0467102871683025,1.0265381721363662,1.0580697928026173,True
case_097,holdout,1,11491509,11491509,11491509,11491509,1.0,1.0,1.0,1.0,False
case_097,holdout,2,5834394,5834394,5834394,5834394,1.0,1.0,1.0,1.0,False
case_097,holdout,3,4253566,4253566,4243972,4243972,1.0,1.0,1.0022606181190639,1.0022606181190639,True
case_097,holdout,4,2869852,2869852,2869852,2869852,1.0,1.0,1.0,1.0,False
case_097,holdout,5,2809291,2809291,2786482,2786482,1.0,1.0,1.0081855902891173,1.0081855902891173,True
case_098,holdout,1,177430,177430,177430,177430,1.0,1.0,1.0,1.0,False
case_098,holdout,2,94244,94554,94248,94248,0.9967214501766186,1.0,0.9999575587810882,1.0032467532467533,True
case_098,holdout,3,87943,87943,87943,87943,1.0,1.0,1.0,1.0,False
case_098,holdout,4,87943,87943,87943,87943,1.0,1.0,1.0,1.0,False
case_098,holdout,5,87943,87943,87943,87943,1.0,1.0,1.0,1.0,False
case_099,holdout,1,1622999,1618902,1622999,1618902,1.002530727616619,1.002530727616619,1.0,1.0,False
case_099,holdout,2,1559711,1555599,1559339,1555453,1.0026433547463067,1.0024983075669918,1.0002385626217263,1.0000938633311325,True
case_099,holdout,3,752124,751508,750951,750093,1.0008196852195852,1.001143858161588,1.001562019359452,1.0018864327490058,True
case_099,holdout,4,614461,613641,614370,613140,1.0013362861999118,1.002006067129856,1.00014811921155,1.000817105391917,True
case_099,holdout,5,504179,503340,503318,502483,1.001666865339532,1.0016617477606207,1.00171064813895,1.0017055303363498,True
case_100,development,1,151223,151223,151223,151223,1.0,1.0,1.0,1.0,False
case_100,development,2,80853,80850,78892,78892,1.0000371057513915,1.0,1.0248567662120367,1.024818739542666,True
case_100,development,3,70054,69368,70054,69368,1.0098892861261677,1.0098892861261677,1.0,1.0,False
case_100,development,4,67632,65227,67632,65227,1.0368712343048123,1.0368712343048123,1.0,1.0,False
case_100,development,5,67632,65227,67632,65227,1.0368712343048123,1.0368712343048123,1.0,1.0,False
