cores,n_cases,mean_baseline_no_l2_cycles,mean_baseline_l2_cycles,mean_final_no_l2_cycles,mean_final_l2_cycles,mean_case_hardware_baseline_ratio,mean_case_hardware_final_ratio,mean_case_schedule_no_l2_ratio,mean_case_schedule_l2_ratio,schedule_l2_strict_wins,schedule_l2_mean_ratio_ci95_low,schedule_l2_mean_ratio_ci95_high
1,100,3124793.73,3116693.1,3124793.73,3116693.1,1.0086217156663206,1.0086217156663206,1.0,1.0,0,1.0,1.0
2,100,1755390.51,1754663.42,1750809.26,1749642.56,1.002940771999695,1.003483000252018,1.0104076593136913,1.01096344079575,43,1.0062979683478934,1.0167490972663185
3,100,1283278.07,1280369.53,1279736.99,1277182.29,1.0096203930174448,1.0081841672993588,1.0157668112327018,1.0142921343555027,51,1.0085509060790705,1.0208774819974464
4,100,1022899.81,1007366.95,1021267.05,1006039.06,1.0180428311151082,1.0171814888641906,1.0081733226401355,1.0072344297931497,41,1.0040701674857067,1.0112321073884638
5,100,899929.62,886256.11,892059.98,878743.58,1.0256565436639677,1.0248193005539705,1.0129616753242716,1.0121043479710337,45,1.0068964874011466,1.0179453538645058
