case,cores,baseline_l2_makespan,winner_l2_makespan,winner,strict_improvement,l2_ordering_speedup,official_calls,candidate_cache_hits,generation_failures,evaluation_failures
case_025,2,2972392,2969642,reuse_window,True,1.0009260375493072,1,0,0,0
case_025,3,2049989,2049989,reuse_window,False,1.0,1,0,0,0
case_025,4,1560638,1560638,baseline,False,1.0,1,0,0,0
case_025,5,975534,975534,baseline,False,1.0,0,0,0,0
case_026,2,64737,64737,baseline,False,1.0,2,0,0,0
case_026,3,52720,52573,reuse_window,True,1.002796112072737,2,0,0,0
case_026,4,52720,52573,reuse_window,True,1.002796112072737,2,0,0,0
case_026,5,52720,52573,reuse_window,True,1.002796112072737,2,0,0,0
case_027,2,1120962,1120962,baseline,False,1.0,0,0,0,0
case_027,3,744579,744579,baseline,False,1.0,0,0,0,0
case_027,4,559196,559196,baseline,False,1.0,0,0,0,0
case_027,5,559196,559196,baseline,False,1.0,0,0,0,0
case_028,2,20306800,20306800,baseline,False,1.0,1,0,0,0
case_028,3,13692576,13658998,balanced_window,True,1.0024583062388617,2,0,0,0
case_028,4,10204835,10204835,balanced_window,False,1.0,2,0,0,0
case_028,5,8154941,8154941,baseline,False,1.0,2,0,0,0
case_029,2,20656,20656,baseline,False,1.0,1,0,0,0
case_029,3,12743,12743,baseline,False,1.0,0,0,0,0
case_029,4,12006,12006,baseline,False,1.0,0,0,0,0
case_029,5,12006,12006,baseline,False,1.0,0,0,0,0
case_030,2,2079367,2079367,baseline,False,1.0,1,0,0,0
case_030,3,1580290,1580290,baseline,False,1.0,1,0,0,0
case_030,4,1344466,1344466,baseline,False,1.0,1,0,0,0
case_030,5,1344466,1344466,baseline,False,1.0,1,0,0,0
case_031,2,857784,857784,baseline,False,1.0,2,0,0,0
case_031,3,657311,657311,baseline,False,1.0,2,0,0,0
case_031,4,533883,532183,reuse_window,True,1.0031943898997149,2,0,0,0
case_031,5,449159,449159,baseline,False,1.0,2,0,0,0
case_032,2,20867,20735,reuse_window,True,1.006366047745358,1,0,0,0
case_032,3,17020,17020,baseline,False,1.0,1,0,0,0
case_032,4,17051,17051,baseline,False,1.0,0,0,0,0
case_032,5,17051,17051,baseline,False,1.0,0,0,0,0
case_033,2,1095391,1095391,baseline,False,1.0,1,0,0,0
case_033,3,747062,747062,baseline,False,1.0,0,0,0,0
case_033,4,553918,553918,baseline,False,1.0,1,0,0,0
case_033,5,553918,553918,baseline,False,1.0,1,0,0,0
case_034,2,547274,547274,baseline,False,1.0,1,0,0,0
case_034,3,389230,389230,baseline,False,1.0,1,0,0,0
case_034,4,338076,338076,baseline,False,1.0,2,0,0,0
case_034,5,290391,286564,reuse_window,True,1.0133547828757277,1,0,0,0
case_035,2,105261,105261,baseline,False,1.0,1,0,0,0
case_035,3,98946,98946,balanced_window,False,1.0,2,0,0,0
case_035,4,93256,93256,baseline,False,1.0,2,0,0,0
case_035,5,93256,93256,baseline,False,1.0,2,0,0,0
case_036,2,466068,466068,baseline,False,1.0,0,0,0,0
case_036,3,388000,388000,baseline,False,1.0,1,0,0,0
