case,cores,split,winner,winner_family,makespan_cycles,stage1_makespan_cycles,added_copy_bytes,stage1_added_copy_bytes,spill_added_copy_bytes,stage1_spill_added_copy_bytes,cross_task_traffic_bytes,cross_core_transfer_count,used_core_count,group_wall_seconds,gain_pct,copy_delta_mib,spill_delta_mib,speedup
case_007,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,203834,203834,110592,110592,0,0,0,0,5,53.41952695325017,0.0,0.0,0.0,4.967581463347626
case_008,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,487605,487605,0,0,0,0,0,0,1,0.20218916609883308,0.0,0.0,0.0,1.0
case_008,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,242226,242226,0,0,0,0,0,0,2,3.3004180546849966,0.0,0.0,0.0,2.0130167694632286
case_008,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,163359,163359,0,0,0,0,0,0,3,4.711733156815171,0.0,0.0,0.0,2.984867684057811
case_008,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,123060,123060,0,0,0,0,0,0,4,6.045703060925007,0.0,0.0,0.0,3.962335446123842
case_008,5,holdout,map_locality@b1,scene_b_fixed_partition_mapping,104035,111071,481536,518784,0,0,240768,19,5,14.154593335464597,6.3346868219427215,-0.0355224609375,0.0,4.6869322824049595
case_009,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,153261,153261,0,0,0,0,0,0,1,0.359093202278018,0.0,0.0,0.0,1.0
case_009,2,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,100840,102725,934196,100408,30216,0,395156,500,2,13.258148696273565,1.8349963494767583,0.7951622009277344,0.02881622314453125,1.5198433161443872
case_009,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,90370,90370,1238032,1238032,8192,8192,521604,670,3,25.514217549934983,0.0,0.0,0.0,1.6959278521633285
case_009,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,88702,88702,1493532,1493532,0,0,610056,790,4,33.33386857435107,0.0,0.0,0.0,1.7278189894252667
case_009,5,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,82643,84007,1582692,1602452,0,0,629546,828,5,41.3686383664608,1.6236742176247216,-0.0188446044921875,0.0,1.854494633544281
case_010,1,validation,stage1_actual_winner,verified_stage1_global_fallback,86969,86969,0,0,0,0,0,0,1,0.12937631458044052,0.0,0.0,0.0,1.0
case_010,2,validation,stage1_actual_winner,verified_stage1_global_fallback,53794,53794,923272,923272,98688,98688,390788,90,2,1.6738960351794958,0.0,0.0,0.0,1.6167044651819906
case_010,3,validation,stage1_actual_winner,verified_stage1_global_fallback,41359,41359,1418344,1418344,0,0,554964,125,3,2.6599988602101803,0.0,0.0,0.0,2.102782949297614
case_010,4,validation,stage1_actual_winner,verified_stage1_global_fallback,38905,38905,489772,489772,0,0,95766,34,4,4.214921562001109,0.0,0.0,0.0,2.23541961187508
case_010,5,validation,map_locality@b1,scene_b_fixed_partition_mapping,37143,37143,413348,548260,0,0,111570,35,5,5.541348440572619,0.0,-0.128662109375,0.0,2.3414640712920334
case_011,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,184697,184697,0,0,0,0,0,0,1,0.12719185650348663,0.0,0.0,0.0,1.0
case_011,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,92646,92646,180224,180224,0,0,0,0,2,2.4950090404599905,0.0,0.0,0.0,1.9935777043801135
case_011,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,79286,79286,1916928,1916928,0,0,958464,234,3,2.2325580809265375,0.0,0.0,0.0,2.329503317105164
case_011,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,46880,46880,540672,540672,0,0,0,0,4,3.9038543794304132,0.0,0.0,0.0,3.9397824232081913
case_011,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,46880,46880,540672,540672,0,0,0,0,4,4.174937272444367,0.0,0.0,0.0,3.9397824232081913
case_012,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,59088,59088,0,0,0,0,0,0,1,0.10406074486672878,0.0,0.0,0.0,1.0
case_012,2,holdout,map_locality@b2a_w8,scene_b_fixed_partition_mapping,33001,34562,822146,822062,0,0,327580,307,2,3.817092264071107,4.516521034662346,8.0108642578125e-05,0.0,1.7904911972364475
case_012,3,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,25172,26134,690488,713818,0,0,271192,226,3,7.365077460184693,3.681028545190174,-0.022249221801757812,0.0,2.3473700937549657
case_012,4,holdout,map_locality@b1,scene_b_fixed_partition_mapping,23486,24454,139052,163180,0,0,46484,38,4,9.688495518639684,3.9584526048908155,-0.02301025390625,0.0,2.5158818019245506
case_012,5,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,23024,24454,719316,163180,0,0,279302,248,5,11.704881995916367,5.847714075406887,0.5303726196289062,0.0,2.56636553161918
case_013,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,263949,263949,0,0,0,0,0,0,1,0.4491104446351528,0.0,0.0,0.0,1.0
case_013,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,165065,165065,40960,40960,0,0,16384,8,2,10.633996855467558,0.0,0.0,0.0,1.5990609759791596
case_013,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,89317,89317,53248,53248,0,0,18432,9,3,27.53004202619195,0.0,0.0,0.0,2.9551933002675863
case_013,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,83671,83671,143360,143360,0,0,59392,29,4,37.33166306652129,0.0,0.0,0.0,3.154605538358571
case_013,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,67008,67008,188416,188416,0,0,77824,38,5,47.114754132926464,0.0,0.0,0.0,3.939066977077364
case_014,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,17698626,17698626,71010720,71010720,71010720,71010720,0,0,1,3.706938486546278,0.0,0.0,0.0,1.0
case_014,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,11605741,11605741,271040064,271040064,147495792,147495792,60725760,10604,2,251.15104661509395,0.0,0.0,0.0,1.5249888826572986
case_014,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,8569571,8569571,266112576,266112576,89363616,89363616,86281728,15141,3,728.6092116013169,0.0,0.0,0.0,2.065287282175502
case_014,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,7306925,7306925,260873880,260873880,70573608,70573608,92011008,16122,4,829.3114720787853,0.0,0.0,0.0,2.422171570120126
case_014,5,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,6467022,6514638,258260256,258576288,50632608,46509600,100674048,17657,5,958.3739346731454,0.7309078416943505,-0.3013916015625,3.9320068359375,2.736750547624548
case_015,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,177362,177362,180256,180256,180256,180256,0,0,1,0.19237102381885052,0.0,0.0,0.0,1.0
case_015,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,104445,104445,2119358,2119358,786604,786604,480516,154,2,3.2469815723598003,0.0,0.0,0.0,1.6981377758628944
case_015,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,84097,84097,2193056,2193056,375598,375598,682834,200,3,6.195386888459325,0.0,0.0,0.0,2.10901696850066
case_015,4,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,64580,67292,2337036,2446438,163876,16396,766988,223,4,9.397355807945132,4.030196754443321,-0.10433387756347656,0.14064788818359375,2.7463920718488697
case_015,5,holdout,inherit_final_k4,recursive_final_winner_inheritance,64580,64801,2337036,2420572,163876,81920,766988,223,4,10.91850671544671,0.341044119689511,-0.0796661376953125,0.07815933227539062,2.7463920718488697
case_016,1,development,stage1_actual_winner,verified_stage1_global_fallback,7715523,7715523,0,0,0,0,0,0,1,1.561241427436471,0.0,0.0,0.0,1.0
case_016,2,development,stage1_actual_winner,verified_stage1_global_fallback,7715523,7715523,0,0,0,0,0,0,1,25.561235539615154,0.0,0.0,0.0,1.0
case_016,3,development,stage1_actual_winner,verified_stage1_global_fallback,7715523,7715523,0,0,0,0,0,0,1,32.1431765537709,0.0,0.0,0.0,1.0
case_016,4,development,stage1_actual_winner,verified_stage1_global_fallback,7715523,7715523,0,0,0,0,0,0,1,36.592232352122664,0.0,0.0,0.0,1.0
case_016,5,development,stage1_actual_winner,verified_stage1_global_fallback,7715523,7715523,0,0,0,0,0,0,1,40.92503651045263,0.0,0.0,0.0,1.0
case_017,1,validation,stage1_actual_winner,verified_stage1_global_fallback,162810,162810,22528,22528,22528,22528,0,0,1,0.26296080462634563,0.0,0.0,0.0,1.0
case_017,2,validation,stage1_actual_winner,verified_stage1_global_fallback,87619,87619,1067284,1067284,43036,43036,383868,196,2,4.8546722289174795,0.0,0.0,0.0,1.8581586185644665
case_017,3,validation,stage1_actual_winner,verified_stage1_global_fallback,64187,64187,1392040,1392040,94264,94264,501176,276,3,10.940543416887522,0.0,0.0,0.0,2.5364949288796796
case_017,4,validation,stage1_actual_winner,verified_stage1_global_fallback,61400,61400,1489064,1489064,0,0,590676,325,4,12.756745072081685,0.0,0.0,0.0,2.651628664495114
case_017,5,validation,map_locality@b2a_w4,scene_b_fixed_partition_mapping,58680,60625,1412536,403724,0,47116,520156,308,5,19.587205776944757,3.2082474226804125,0.9620780944824219,-0.044933319091796875,2.7745398773006134
case_018,1,validation,stage1_actual_winner,verified_stage1_global_fallback,1004367,1004367,1970176,1970176,1970176,1970176,0,0,1,0.500985523685813,0.0,0.0,0.0,1.0
case_018,2,validation,stage1_actual_winner,verified_stage1_global_fallback,582918,582918,7888080,7888080,2981120,2981120,2428392,651,2,7.660765638574958,0.0,0.0,0.0,1.722998775127891
case_018,3,validation,stage1_actual_winner,verified_stage1_global_fallback,419178,419178,7371192,7371192,671744,671744,3315932,905,3,18.094282077625394,0.0,0.0,0.0,2.3960393913802727
case_018,4,validation,map_locality@b2a_w4,scene_b_fixed_partition_mapping,349301,349320,7108800,7117472,0,0,3517536,958,4,26.06862752325833,0.005439138898431238,-0.008270263671875,0.0,2.8753625096979394
case_018,5,validation,stage1_actual_winner,verified_stage1_global_fallback,286518,286518,7652228,7652228,0,0,3792322,1024,5,24.089504934847355,0.0,0.0,0.0,3.5054237430109105
case_019,1,validation,stage1_actual_winner,verified_stage1_global_fallback,81144,81144,0,0,0,0,0,0,1,0.10727321356534958,0.0,0.0,0.0,1.0
case_019,2,validation,stage1_actual_winner,verified_stage1_global_fallback,41969,41969,451616,451616,0,0,195072,67,2,1.6008999682962894,0.0,0.0,0.0,1.933427053301246
case_019,3,validation,map_locality@b2a_w4,scene_b_fixed_partition_mapping,33348,34294,693324,722508,0,0,296454,102,3,2.9225148502737284,2.75850002915962,-0.02783203125,0.0,2.433249370277078
case_019,4,validation,map_locality@b1,scene_b_fixed_partition_mapping,23610,25339,159540,177208,0,0,58890,20,4,4.042466215789318,6.823473696673113,-0.016849517822265625,0.0,3.436848792884371
case_019,5,validation,stage1_actual_winner,verified_stage1_global_fallback,22886,22886,212240,212240,0,0,83976,30,5,4.522382102906704,0.0,0.0,0.0,3.5455737131871015
case_020,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,532746,532746,0,0,0,0,0,0,1,0.6184885762631893,0.0,0.0,0.0,1.0
case_020,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,266580,266580,0,0,0,0,0,0,2,33.25113112665713,0.0,0.0,0.0,1.9984469952734638
case_020,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,177950,177950,0,0,0,0,0,0,3,49.41090111993253,0.0,0.0,0.0,2.993796010115201
case_020,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,133704,133704,0,0,0,0,0,0,4,54.878985710442066,0.0,0.0,0.0,3.984518039849219
case_020,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,133566,133566,466944,466944,0,0,204800,50,5,87.14678187854588,0.0,0.0,0.0,3.98863483221778
case_021,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,6567937,6567937,4501504,4501504,4501504,4501504,0,0,1,0.7601146157830954,0.0,0.0,0.0,1.0
case_021,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,3215396,3215396,5017600,5017600,3276800,3276800,0,0,2,19.740345479920506,0.0,0.0,0.0,2.0426526001773966
case_021,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,2784961,2784961,65814528,65814528,29122560,29122560,18345984,1493,3,21.356900691986084,0.0,0.0,0.0,2.3583586987394076
case_021,4,holdout,map_locality@b0,scene_b_fixed_partition_mapping,1588497,1588859,5427200,6635520,1638400,2027520,0,0,4,44.285335110500455,0.022783645370671658,-1.15234375,-0.37109375,4.13468643629796
case_021,5,holdout,map_locality@b0,scene_b_fixed_partition_mapping,1269404,1271102,4245504,6840320,1224704,2027520,0,0,5,36.612238662317395,0.1335848735978702,-2.474609375,-0.765625,5.174032065441735
case_022,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,56780,56780,0,0,0,0,0,0,1,0.21596436016261578,0.0,0.0,0.0,1.0
case_022,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,29058,29058,693464,693464,8192,8192,296044,137,2,4.700741499662399,0.0,0.0,0.0,1.9540229885057472
case_022,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,22450,22450,893256,893256,0,0,377124,234,3,6.6748973950743675,0.0,0.0,0.0,2.529175946547884
case_022,4,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,20969,21896,852016,931884,0,0,358552,217,4,10.391236528754234,4.233649981731823,-0.07616806030273438,0.0,2.707806762363489
case_022,5,holdout,map_locality@b2a_w4,scene_b_fixed_partition_mapping,19350,21407,855484,989652,0,0,357598,201,5,12.506964653730392,9.609006399775774,-0.12795257568359375,0.0,2.9343669250645994
case_023,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,122614,122614,0,0,0,0,0,0,1,0.16856740042567253,0.0,0.0,0.0,1.0
case_023,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,57858,57858,1109964,1109964,0,0,518886,169,2,3.840689692646265,0.0,0.0,0.0,2.1192229250924677
case_023,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,38688,38688,1128212,1128212,0,0,516106,164,3,4.994932644069195,0.0,0.0,0.0,3.1693031430934657
case_023,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,32530,32530,1233352,1233352,0,0,499812,178,4,6.16767087392509,0.0,0.0,0.0,3.7692591454042423
case_023,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,32530,32530,1233352,1233352,0,0,499812,178,4,8.82421300560236,0.0,0.0,0.0,3.7692591454042423
case_024,1,development,stage1_actual_winner,verified_stage1_global_fallback,2555343,2555343,0,0,0,0,0,0,1,0.8956909291446209,0.0,0.0,0.0,1.0
case_024,2,development,stage1_actual_winner,verified_stage1_global_fallback,2555343,2555343,0,0,0,0,0,0,1,8.621157618239522,0.0,0.0,0.0,1.0
