cores,cases,mean_baseline_no_l2_makespan,median_baseline_no_l2_makespan,mean_of_case_parallel_speedups_baseline_no_l2_vs_k1,ratio_of_mean_parallel_speedups_baseline_no_l2_vs_k1,mean_baseline_l2_makespan,median_baseline_l2_makespan,mean_of_case_parallel_speedups_baseline_l2_vs_k1,ratio_of_mean_parallel_speedups_baseline_l2_vs_k1,mean_final_no_l2_makespan,median_final_no_l2_makespan,mean_of_case_parallel_speedups_final_no_l2_vs_k1,ratio_of_mean_parallel_speedups_final_no_l2_vs_k1,mean_final_l2_makespan,median_final_l2_makespan,mean_of_case_parallel_speedups_final_l2_vs_k1,ratio_of_mean_parallel_speedups_final_l2_vs_k1,mean_of_case_parallel_speedups_baseline_no_l2_vs_best_observed_one_core,mean_of_case_parallel_speedups_final_no_l2_vs_best_observed_one_core,mean_of_case_ratios_hardware_speedup_baseline,median_of_case_ratios_hardware_speedup_baseline,wins_hardware_speedup_baseline,worst_hardware_speedup_baseline,mean_of_case_ratios_hardware_speedup_final,median_of_case_ratios_hardware_speedup_final,wins_hardware_speedup_final,worst_hardware_speedup_final,mean_of_case_ratios_l2_plan_tuning_speedup,median_of_case_ratios_l2_plan_tuning_speedup,wins_l2_plan_tuning_speedup,worst_l2_plan_tuning_speedup,mean_of_case_ratios_no_l2_plan_tuning_speedup,median_of_case_ratios_no_l2_plan_tuning_speedup,wins_no_l2_plan_tuning_speedup,worst_no_l2_plan_tuning_speedup,ratio_of_mean_makespans_hardware_baseline,ratio_of_mean_makespans_l2_tuning
1,100,3124793.73,491462.5,1.0,1.0,3116693.1,491462.5,1.0,1.0,3124793.73,491462.5,1.0,1.0,3116693.1,491462.5,1.0,1.0,0.9679262425241161,0.9679262425241161,1.0086217156663206,1.0,25,1.0,1.0086217156663206,1.0,25,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0025991105765273,1.0
2,100,1755390.51,258585.5,1.7509090455227874,1.7801131498654392,1754663.42,258585.5,1.739138473575354,1.776234156633869,1750809.26,258376.0,1.7681136473789392,1.784771077804329,1749642.56,258376.0,1.7573620424486485,1.7813313251822132,1.6835129938605686,1.7003642919019086,1.002940771999695,1.0000057282275105,51,0.9925875303377804,1.003483000252018,1.0,48,0.9940910710556046,1.01096344079575,1.0,43,1.0,1.0104076593136913,1.0,39,0.9947774520704875,1.0004143757667212,1.002869648987048
3,100,1283278.07,198083.0,2.342314337731249,2.43500906237726,1280369.53,198083.0,2.34440412601643,2.434213738279136,1279736.99,197363.5,2.3796711091719596,2.4417468233062483,1277182.29,197363.5,2.3782739041439167,2.440288378881295,2.2569138121260703,2.2922355101975924,1.0096203930174448,1.0000544796914719,55,0.9999785492116835,1.0081841672993588,1.0000459377288347,54,0.9947978648081913,1.0142921343555027,1.0000540252376755,51,1.0,1.0157668112327018,1.0,47,0.9955130122644331,1.0022716410628736,1.0024955247382894
4,100,1022899.81,155895.5,2.847632685552073,3.054838508572995,1007366.95,155642.0,2.8739351007632696,3.0939004897867655,1021267.05,154392.5,2.8725601484856527,3.059722459468363,1006039.06,154402.0,2.8955924209051633,3.09798418761196,2.746985200357114,2.7696527386119927,1.0180428311151082,1.0011449370730796,64,1.0,1.0171814888641906,1.0006429752071075,60,0.9998599118718321,1.0072344297931497,1.0,41,1.0,1.0081733226401355,1.0,39,0.9940407020053038,1.015419267030748,1.001319918930384
5,100,899929.62,139342.0,3.208499841554248,3.472264564422271,886256.11,138647.5,3.2615701730610294,3.516695755135612,892059.98,137599.0,3.249538068950359,3.5028964420083053,878743.58,136841.0,3.300880803207533,3.546760591980655,3.1010715137911737,3.1398053448540533,1.0256565436639677,1.0014056671857876,63,0.9993580592740234,1.0248193005539705,1.0022293330821026,63,0.9994881488499063,1.0121043479710337,1.0,45,1.0,1.0129616753242716,1.0,42,0.9848095349380697,1.0154283957489445,1.0085491719893989
