case,cores,graph_sha256,baseline_plan_file_sha256,final_plan_file_sha256,final_source,plan_changed,baseline_legal,final_legal,g1_no_l2_official_calls,g1_l2_official_calls,g2_official_calls,g2_candidate_cache_hits,final_no_l2_source,best_observed_one_core_no_l2_makespan,best_observed_one_core_source_requested_cores,best_observed_one_core_candidate,best_observed_one_core_plan_file_sha256,best_observed_one_core_result_file_sha256,baseline_no_l2_makespan,baseline_no_l2_added_copy_bytes,baseline_no_l2_scheduled_copy_bytes,baseline_no_l2_spill_added_copy_bytes,baseline_no_l2_partition_added_copy_bytes,baseline_no_l2_cross_task_traffic_bytes,baseline_no_l2_cross_core_transfer_count,baseline_no_l2_copy_in_hits,baseline_no_l2_copy_in_misses,baseline_no_l2_cache_hit_bytes,baseline_no_l2_cache_miss_bytes,baseline_no_l2_cache_hit_rate_bytes,baseline_l2_makespan,baseline_l2_added_copy_bytes,baseline_l2_scheduled_copy_bytes,baseline_l2_spill_added_copy_bytes,baseline_l2_partition_added_copy_bytes,baseline_l2_cross_task_traffic_bytes,baseline_l2_cross_core_transfer_count,baseline_l2_copy_in_hits,baseline_l2_copy_in_misses,baseline_l2_cache_hit_bytes,baseline_l2_cache_miss_bytes,baseline_l2_cache_hit_rate_bytes,final_no_l2_makespan,final_no_l2_added_copy_bytes,final_no_l2_scheduled_copy_bytes,final_no_l2_spill_added_copy_bytes,final_no_l2_partition_added_copy_bytes,final_no_l2_cross_task_traffic_bytes,final_no_l2_cross_core_transfer_count,final_no_l2_copy_in_hits,final_no_l2_copy_in_misses,final_no_l2_cache_hit_bytes,final_no_l2_cache_miss_bytes,final_no_l2_cache_hit_rate_bytes,final_l2_makespan,final_l2_added_copy_bytes,final_l2_scheduled_copy_bytes,final_l2_spill_added_copy_bytes,final_l2_partition_added_copy_bytes,final_l2_cross_task_traffic_bytes,final_l2_cross_core_transfer_count,final_l2_copy_in_hits,final_l2_copy_in_misses,final_l2_cache_hit_bytes,final_l2_cache_miss_bytes,final_l2_cache_hit_rate_bytes,hardware_speedup_baseline_mean_of_ratios_member,hardware_speedup_final_mean_of_ratios_member,l2_plan_tuning_speedup_mean_of_ratios_member,no_l2_plan_tuning_speedup_mean_of_ratios_member,hardware_plan_interaction_cycles,baseline_no_l2_parallel_speedup_vs_same_case_k1,baseline_l2_parallel_speedup_vs_same_case_k1,final_no_l2_parallel_speedup_vs_same_case_k1,final_l2_parallel_speedup_vs_same_case_k1,baseline_no_l2_parallel_speedup_vs_best_observed_one_core,final_no_l2_parallel_speedup_vs_best_observed_one_core
case_017,4,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,89c1f05d18bdf8374fdb00b5c15ec2ede51a672119cb1078df94f400ffa74cdd,7411e036a9da64e7307b72bffa159fb4ee0039e513d9b68ef092168730682cb6,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,147455,1,b0,94164c96c1c714acaa6763455620475480dc25760b22c414513d7fc5c0b7d037,d210a94c5d8938c95532deb9cb78c129deacd63db13102ffb4558a9acb521bb8,61400,1489064,2132926,0,1489064,590676,325,,,,,,59221,1489064,2132926,0,1489064,590676,325,96,582,307712,1125794,0.21465693202539787,60971,1421980,2065842,0,1421980,564046,308,,,,,,58506,1421980,2065842,0,1421980,564046,308,90,566,289280,1103772,0.2076591541449996,1.0367943803718276,1.0421324308617919,1.0122209687895258,1.007036131931574,286,2.651628664495114,2.7491936981813883,2.670285873612045,2.7827915085632244,2.4015472312703583,2.418444834429483
case_017,5,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,1b6467db0947d3b62d367efe6ee475cb6355e57324f1fc6272f7ef94d7eab662,abd4be4f3da67a02586a12777577dc214f5a9ed538f4215863e4985a3579a46a,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,147455,1,b0,94164c96c1c714acaa6763455620475480dc25760b22c414513d7fc5c0b7d037,d210a94c5d8938c95532deb9cb78c129deacd63db13102ffb4558a9acb521bb8,60625,403724,1047586,47116,356608,93184,12,,,,,,60625,403724,1047586,47116,356608,93184,12,32,281,84228,756306,0.10020772508905053,60625,293132,936994,47116,246016,65536,9,,,,,,60440,293132,936994,47116,246016,65536,9,30,276,78084,679506,0.10306894230388469,1.0,1.003060886829914,1.003060886829914,1.0,185,2.6855257731958764,2.6855257731958764,2.6855257731958764,2.693745863666446,2.4322474226804123,2.4322474226804123
case_018,1,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,890ceb0b49b4b6001da4358bccb39342fc92672fd85ec2418c40c0c47eea5675,890ceb0b49b4b6001da4358bccb39342fc92672fd85ec2418c40c0c47eea5675,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,1003281,1,b1,fab2be7010e0637040aae86b4dbe7dc321db0d10049954f2e2ff16da18235196,771940f9b79b43a43457f16c27e991de98054bf52feea7e4da9af49ebcb114c8,1004367,1970176,3563024,1970176,0,0,0,,,,,,1003110,1970176,3563024,1970176,0,0,0,225,549,1224704,2338068,0.34375031576536474,1004367,1970176,3563024,1970176,0,0,0,,,,,,1003110,1970176,3563024,1970176,0,0,0,225,549,1224704,2338068,0.34375031576536474,1.0012531028501361,1.0012531028501361,1.0,1.0,0,1.0,1.0,1.0,1.0,0.9989187219412824,0.9989187219412824
case_018,2,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,274c31977d6b7eb3194fe976e764dbeb68d8d13ee86f56fc3f6cd3e6dc3ef1b9,f5ce3254ea37a30ffbb89be939e0164b3a3d7d5f688dc5c270da5d454da73858,baseline,False,True,True,0,1,1,0,G1_verified_reuse,1003281,1,b1,fab2be7010e0637040aae86b4dbe7dc321db0d10049954f2e2ff16da18235196,771940f9b79b43a43457f16c27e991de98054bf52feea7e4da9af49ebcb114c8,582918,7888080,9480928,2981120,4906960,2428392,651,,,,,,582773,7888080,9480928,2981120,4906960,2428392,651,2,1482,16384,5545340,0.002945849164755389,582918,7888080,9480928,2981120,4906960,2428392,651,,,,,,582773,7888080,9480928,2981120,4906960,2428392,651,2,1482,16384,5545340,0.002945849164755389,1.0002488104287603,1.0002488104287603,1.0,1.0,0,1.722998775127891,1.72127054616463,1.722998775127891,1.72127054616463,1.721135734357148,1.721135734357148
case_018,3,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,51d4228bf793e75faf91419983d27f24cadd3b50d67785bd2a73b008da7f304d,476aa8c65ccd7b4c50796c838413157856de39a49cfd7ab32fc0a7b23f50e779,baseline,False,True,True,0,1,1,0,G1_verified_reuse,1003281,1,b1,fab2be7010e0637040aae86b4dbe7dc321db0d10049954f2e2ff16da18235196,771940f9b79b43a43457f16c27e991de98054bf52feea7e4da9af49ebcb114c8,419178,7371192,8964040,671744,6699448,3315932,905,,,,,,419178,7371192,8964040,671744,6699448,3315932,905,3,1428,24576,5287408,0.004626519959397468,419178,7371192,8964040,671744,6699448,3315932,905,,,,,,419178,7371192,8964040,671744,6699448,3315932,905,3,1428,24576,5287408,0.004626519959397468,1.0,1.0,1.0,1.0,0,2.3960393913802727,2.3930406653020913,2.3960393913802727,2.3930406653020913,2.3934486065585503,2.3934486065585503
case_018,4,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,4ce7a85ccd2eaefaae5e53450f53a4504bc25962e66dd3c508451afc52707fec,51d6950b61806b6f11290511962e1b9429e90a1e59557f7bfd0477180f10c943,baseline,True,True,True,0,1,1,0,new_official_evaluation,1003281,1,b1,fab2be7010e0637040aae86b4dbe7dc321db0d10049954f2e2ff16da18235196,771940f9b79b43a43457f16c27e991de98054bf52feea7e4da9af49ebcb114c8,349320,7117472,8710320,0,7117472,3521872,956,,,,,,349052,7117472,8710320,0,7117472,3521872,956,4,1393,32768,5155428,0.0063158754989210125,345303,7117472,8710320,0,7117472,3521872,956,,,,,,345022,7117472,8710320,0,7117472,3521872,956,4,1393,32768,5155428,0.0063158754989210125,1.000767793910363,1.0008144408182666,1.0116804145822584,1.011633261222752,13,2.8752061147372037,2.873812497851323,2.908654138539196,2.9073798192579026,2.872097217451048,2.9055090746387955
case_018,5,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,d1e976e3ef3d42a6e4955829aeda3cdf987deb1f3156597f258e7f56337df76c,a1c4fe6b198c5f52e9264164ea86e768434eea2570ea7abcd813fcbb8fbc8b80,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,1003281,1,b1,fab2be7010e0637040aae86b4dbe7dc321db0d10049954f2e2ff16da18235196,771940f9b79b43a43457f16c27e991de98054bf52feea7e4da9af49ebcb114c8,286518,7652228,9245076,0,7652228,3792322,1024,,,,,,286107,7652228,9245076,0,7652228,3792322,1024,3,1465,24576,5427926,0.004507288580545225,278869,7578500,9171348,0,7578500,3759554,1019,,,,,,278869,7578500,9171348,0,7578500,3759554,1019,2,1460,16384,5395158,0.0030276028533087244,1.001436525495706,1.0,1.0259548390104314,1.027428649294113,-411,3.5054237430109105,3.5060659124034017,3.6015727814852134,3.597065288719793,3.501633405231085,3.5976784798597192
case_019,1,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,6edfe829f9c086542ff575000b32c8fd979560192429da428b1387bc6d93cca7,6edfe829f9c086542ff575000b32c8fd979560192429da428b1387bc6d93cca7,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,73004,1,b2a_w16,e63823edce814e7676bd2575db2084bc456a4290d1934eaedc01c2fcc7e5d071,ec760d09b0e8e6221cee879a71c481ff6b7bcf11295159c4204d3e2e91506201,81144,0,186984,0,0,0,0,,,,,,81144,0,186984,0,0,0,0,0,88,0,179252,0.0,81144,0,186984,0,0,0,0,,,,,,81144,0,186984,0,0,0,0,0,88,0,179252,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.8996845114857537,0.8996845114857537
case_019,2,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,09ff006bf5fd74269d93d86452d5f490b8866870205a7b64f7da9990cfd1e856,892cb1c23b5f3ca55f1d39e7d224ba3a0ec830bbd4782433c1acc3a2d6bba4ca,baseline,False,True,True,0,1,1,0,G1_verified_reuse,73004,1,b2a_w16,e63823edce814e7676bd2575db2084bc456a4290d1934eaedc01c2fcc7e5d071,ec760d09b0e8e6221cee879a71c481ff6b7bcf11295159c4204d3e2e91506201,41969,451616,638600,0,451616,195072,67,,,,,,41969,451616,638600,0,451616,195072,67,28,156,58880,376916,0.13510908773829958,41969,451616,638600,0,451616,195072,67,,,,,,41969,451616,638600,0,451616,195072,67,28,156,58880,376916,0.13510908773829958,1.0,1.0,1.0,1.0,0,1.933427053301246,1.933427053301246,1.933427053301246,1.933427053301246,1.739474373942672,1.739474373942672
case_019,3,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,db9a8cf869f5a267be3ee310fb19b5e8d236ebfdc9144f3289f5126910859163,c2e77ff73dd09c18dea3d412621530dcfa00552f1cd4d59b4e02a9938753c4dc,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,73004,1,b2a_w16,e63823edce814e7676bd2575db2084bc456a4290d1934eaedc01c2fcc7e5d071,ec760d09b0e8e6221cee879a71c481ff6b7bcf11295159c4204d3e2e91506201,34294,722508,909492,0,722508,305670,104,,,,,,34175,722508,909492,0,722508,305670,104,46,192,111168,484922,0.1864953278867285,32272,705612,892596,0,705612,299526,104,,,,,,32189,705612,892596,0,705612,299526,104,45,192,106560,478778,0.1820486624821898,1.003482077542063,1.0025785206126316,1.0616980956227282,1.0626549330689141,-36,2.3661281856884586,2.3743672275054863,2.5143777887952403,2.5208611637515923,2.1287688808537935,2.2621467526028756
case_019,4,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,15d106e158b22ecd3efe5c1c2602779fc6d9fc98637092ede2c484bdf16eb114,7c58f416405ca648d64c53ce169656945350880dfe8b10f24b7b958862230b51,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,73004,1,b2a_w16,e63823edce814e7676bd2575db2084bc456a4290d1934eaedc01c2fcc7e5d071,ec760d09b0e8e6221cee879a71c481ff6b7bcf11295159c4204d3e2e91506201,25339,177208,364192,0,177208,58380,22,,,,,,25339,177208,364192,0,177208,58380,22,16,111,52256,245824,0.17530864197530865,24873,181304,368288,0,181304,62732,22,,,,,,24873,181304,368288,0,181304,62732,22,15,111,47648,250176,0.1599871064789943,1.0,1.0,1.018735174687412,1.018735174687412,0,3.2023363195074785,3.2023363195074785,3.2623326498612952,3.2623326498612952,2.8810923872291725,2.935070156394484
case_019,5,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,e170df954a7375cfb83666e48472d0196d639eb2d611d907c64f14ff748d0b2b,29c78771f1b4efb7801e0d789b5e3dcaff9e1c0f1db2b79ac28f01842ad698e0,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,73004,1,b2a_w16,e63823edce814e7676bd2575db2084bc456a4290d1934eaedc01c2fcc7e5d071,ec760d09b0e8e6221cee879a71c481ff6b7bcf11295159c4204d3e2e91506201,22886,212240,399224,0,212240,83976,30,,,,,,22886,212240,399224,0,212240,83976,30,16,118,44288,263228,0.14401852261345752,21640,232728,419712,0,232728,89100,35,,,,,,21640,232728,419712,0,232728,89100,35,18,123,54528,268352,0.1688800792864222,1.0,1.0,1.0575785582255084,1.0575785582255084,0,3.5455737131871015,3.5455737131871015,3.7497227356746765,3.7497227356746765,3.189897754085467,3.3735674676524954
case_020,1,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,bbd6b9684fa70e119fd0e3f4f7d4a94282385196530028c52aa36ef7ca17c648,bbd6b9684fa70e119fd0e3f4f7d4a94282385196530028c52aa36ef7ca17c648,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,532746,1,b0,147631d632f2fa727f3bc9ef05c126589388799116869f64e5652e92b60dabc2,97fcde80b7522ec2eea689f1006d611459b4120694bb36654c256bd885a60b8e,532746,0,2359296,0,0,0,0,,,,,,532746,0,2359296,0,0,0,0,0,288,0,1179648,0.0,532746,0,2359296,0,0,0,0,,,,,,532746,0,2359296,0,0,0,0,0,288,0,1179648,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
case_020,2,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,7fe90a407b60b73b158647bd676f7085a9ef2ff0ee43950aa8166eec24911a49,7fe90a407b60b73b158647bd676f7085a9ef2ff0ee43950aa8166eec24911a49,baseline,False,True,True,0,1,0,0,G1_verified_reuse,532746,1,b0,147631d632f2fa727f3bc9ef05c126589388799116869f64e5652e92b60dabc2,97fcde80b7522ec2eea689f1006d611459b4120694bb36654c256bd885a60b8e,266580,0,2359296,0,0,0,0,,,,,,266580,0,2359296,0,0,0,0,0,288,0,1179648,0.0,266580,0,2359296,0,0,0,0,,,,,,266580,0,2359296,0,0,0,0,0,288,0,1179648,0.0,1.0,1.0,1.0,1.0,0,1.9984469952734638,1.9984469952734638,1.9984469952734638,1.9984469952734638,1.9984469952734638,1.9984469952734638
case_020,3,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,f7e9e2943f31131516ed74de98bb1cd05f6d746a412bd2a20ecc8e5b71378ae8,f7e9e2943f31131516ed74de98bb1cd05f6d746a412bd2a20ecc8e5b71378ae8,baseline,False,True,True,0,1,0,0,G1_verified_reuse,532746,1,b0,147631d632f2fa727f3bc9ef05c126589388799116869f64e5652e92b60dabc2,97fcde80b7522ec2eea689f1006d611459b4120694bb36654c256bd885a60b8e,177950,0,2359296,0,0,0,0,,,,,,177950,0,2359296,0,0,0,0,0,288,0,1179648,0.0,177950,0,2359296,0,0,0,0,,,,,,177950,0,2359296,0,0,0,0,0,288,0,1179648,0.0,1.0,1.0,1.0,1.0,0,2.993796010115201,2.993796010115201,2.993796010115201,2.993796010115201,2.993796010115201,2.993796010115201
case_020,4,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,ae42d840608e31567d96f4f5ad92cd0dceb32609e97625b84d95c9ac163ada01,ae42d840608e31567d96f4f5ad92cd0dceb32609e97625b84d95c9ac163ada01,baseline,False,True,True,0,1,0,0,G1_verified_reuse,532746,1,b0,147631d632f2fa727f3bc9ef05c126589388799116869f64e5652e92b60dabc2,97fcde80b7522ec2eea689f1006d611459b4120694bb36654c256bd885a60b8e,133704,0,2359296,0,0,0,0,,,,,,133704,0,2359296,0,0,0,0,0,288,0,1179648,0.0,133704,0,2359296,0,0,0,0,,,,,,133704,0,2359296,0,0,0,0,0,288,0,1179648,0.0,1.0,1.0,1.0,1.0,0,3.984518039849219,3.984518039849219,3.984518039849219,3.984518039849219,3.984518039849219,3.984518039849219
case_020,5,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,07387acb8285e53d1eafc149cde8e60e606474d2842a892766e01417db5e2510,34d5f3c9604f7bf5431ea1e57026f43312af7135f1cb996af4e36463860021f0,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,532746,1,b0,147631d632f2fa727f3bc9ef05c126589388799116869f64e5652e92b60dabc2,97fcde80b7522ec2eea689f1006d611459b4120694bb36654c256bd885a60b8e,133566,466944,2826240,0,466944,204800,50,,,,,,133566,466944,2826240,0,466944,204800,50,14,338,57344,1384448,0.03977272727272727,133490,475136,2834432,0,475136,208896,51,,,,,,133490,475136,2834432,0,475136,208896,51,14,339,57344,1388544,0.039660056657223795,1.0,1.0,1.0005693310360326,1.0005693310360326,0,3.98863483221778,3.98863483221778,3.9909056858191625,3.9909056858191625,3.98863483221778,3.9909056858191625
case_021,1,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,f348d8199a95196945fe11a61f21e5764ab4819e1e2976958b4ced376a8e9830,f348d8199a95196945fe11a61f21e5764ab4819e1e2976958b4ced376a8e9830,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,6496252,1,b1,708e51cfb0cd26948c714a40b947b8b82ea4521cf3345c62ab99fef43fed5192,993ce0c0c5f8eca6a1dfea5e96ad121b45b02ea56c0ff66bac9d821df0986d9d,6567937,4501504,7839744,4501504,0,0,0,,,,,,6558837,4501504,7839744,4501504,0,0,0,838,711,3432448,3424256,0.5005973715651135,6567937,4501504,7839744,4501504,0,0,0,,,,,,6558837,4501504,7839744,4501504,0,0,0,838,711,3432448,3424256,0.5005973715651135,1.0013874410966457,1.0013874410966457,1.0,1.0,0,1.0,1.0,1.0,1.0,0.9890856139454444,0.9890856139454444
case_021,2,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,726787668fed95a619a7a74ddbfa8a8bd6531a1fb03d801558c71dd96421fd2c,726787668fed95a619a7a74ddbfa8a8bd6531a1fb03d801558c71dd96421fd2c,baseline,False,True,True,0,1,1,0,G1_verified_reuse,6496252,1,b1,708e51cfb0cd26948c714a40b947b8b82ea4521cf3345c62ab99fef43fed5192,993ce0c0c5f8eca6a1dfea5e96ad121b45b02ea56c0ff66bac9d821df0986d9d,3215396,5017600,8355840,3276800,1740800,0,0,,,,,,3213736,5017600,8355840,3276800,1740800,0,0,759,841,3379200,3993600,0.4583333333333333,3215396,5017600,8355840,3276800,1740800,0,0,,,,,,3213736,5017600,8355840,3276800,1740800,0,0,759,841,3379200,3993600,0.4583333333333333,1.0005165327830288,1.0005165327830288,1.0,1.0,0,2.0426526001773966,2.0408761018328825,2.0426526001773966,2.0408761018328825,2.0203583011237187,2.0203583011237187
case_021,3,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,17b53882f27237c5f0c58553a8637d2c1fb12b54684f1982af6b489d69e57896,1bc1357184091cd52cd9d85f0a6f546b978f31b3871464279200482a5dfaf1b6,baseline,True,True,True,0,1,0,0,new_official_evaluation,6496252,1,b1,708e51cfb0cd26948c714a40b947b8b82ea4521cf3345c62ab99fef43fed5192,993ce0c0c5f8eca6a1dfea5e96ad121b45b02ea56c0ff66bac9d821df0986d9d,2784961,65814528,69152768,29122560,36691968,18345984,1493,,,,,,2784961,65814528,69152768,29122560,36691968,18345984,1493,0,3128,0,35262464,0.0,2780463,64806912,68145152,28114944,36691968,18345984,1493,,,,,,2780463,64806912,68145152,28114944,36691968,18345984,1493,0,3087,0,34758656,0.0,1.0,1.0,1.0016177161861173,1.0016177161861173,0,2.3583586987394076,2.355091148493641,2.362173853779029,2.358901017564341,2.3326186614462463,2.3363921764109072
case_021,4,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,86784ee1d8bfdff132b7542730007dab8e150b5aa259cc07832574b6f164750c,e8a3e5ec47b45ce3e763ec8de3ae446d46eb3b48818891790a0f7ce3e4c2bd6b,baseline,True,True,True,0,1,1,0,new_official_evaluation,6496252,1,b1,708e51cfb0cd26948c714a40b947b8b82ea4521cf3345c62ab99fef43fed5192,993ce0c0c5f8eca6a1dfea5e96ad121b45b02ea56c0ff66bac9d821df0986d9d,1588859,6635520,9973760,2027520,4608000,0,0,,,,,,1584951,6635520,9973760,2027520,4608000,0,0,940,955,4392960,4597760,0.4886104783599089,1582851,5799936,9138176,1191936,4608000,0,0,,,,,,1580505,5799936,9138176,1191936,4608000,0,0,772,919,3606528,4548608,0.4422400803616273,1.0024656913683767,1.0014843357028291,1.002813024950886,1.0037956826005732,-1562,4.133744404003124,4.138195439480463,4.149434785712616,4.149836286503365,4.088627121726975,4.1041462525531465
case_021,5,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,3e9a04b5d345dbfd1b91e2afab02074bbff2b94469984ebd8a9e4bd72c76b833,17fc0fbfd3cfbf48deeb4aa4cc63c83d5f4d0735ce1130021a51f4bab89b20c0,baseline,True,True,True,0,1,1,0,new_official_evaluation,6496252,1,b1,708e51cfb0cd26948c714a40b947b8b82ea4521cf3345c62ab99fef43fed5192,993ce0c0c5f8eca6a1dfea5e96ad121b45b02ea56c0ff66bac9d821df0986d9d,1271102,6840320,10178560,2027520,4812800,0,0,,,,,,1271102,6840320,10178560,2027520,4812800,0,0,190,1805,829440,8366080,0.09020044543429843,1253945,4812800,8151040,0,4812800,0,0,,,,,,1253945,4812800,8151040,0,4812800,0,0,0,1500,0,7168000,0.0,1.0,1.0,1.0136824182878834,1.0136824182878834,0,5.167120341247201,5.159961199022581,5.237819043099976,5.230561946496856,5.110724395052482,5.180651463979681
case_022,1,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,bdc9c153727b9f7ea40409a9ffa15959f9bc5fe680e565eb6da09692918d3411,bdc9c153727b9f7ea40409a9ffa15959f9bc5fe680e565eb6da09692918d3411,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,55620,1,b2a_w8,718c641913d87b2a53abc91dc1ba7110380e801ceb6d721c33e798d43177bcbc,c3ebd728e643c2b5229535555c90d2ee36e1d07643c0abeb9acd33fb4ed4a234,56780,0,213686,0,0,0,0,,,,,,56780,0,213686,0,0,0,0,0,138,0,213540,0.0,56780,0,213686,0,0,0,0,,,,,,56780,0,213686,0,0,0,0,0,138,0,213540,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.9795702712222614,0.9795702712222614
case_022,2,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,a67eaa0b1b0f41939aa67cd5821a444128f623f08262e46c659029849df7fb08,f616ccbabc9988307767c26d23a9c203f1852e827e15549aa6993874d81de3b7,baseline,True,True,True,0,1,1,0,new_official_evaluation,55620,1,b2a_w8,718c641913d87b2a53abc91dc1ba7110380e801ceb6d721c33e798d43177bcbc,c3ebd728e643c2b5229535555c90d2ee36e1d07643c0abeb9acd33fb4ed4a234,29058,693464,907150,8192,685272,296044,137,,,,,,28922,693464,907150,8192,685272,296044,137,39,278,93184,513680,0.1535500540483535,28864,685272,898958,0,685272,296044,137,,,,,,28854,685272,898958,0,685272,296044,137,39,275,93184,509584,0.1545934754333342,1.004702302745315,1.0003465723989742,1.0023566923130243,1.0067211751662972,-126,1.9540229885057472,1.9632113961690063,1.9671563192904655,1.9678380813751992,1.9141028288251083,1.9269678492239468
case_022,3,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,1701b6521e7c2600f2fb303a6adf693af36e481524413c995f64e9fe4e1abbf1,decca148fec580f3b6e4a3ae9475a91b085d63555a7a97cb1e421d12bd7d249a,baseline,True,True,True,0,1,1,0,new_official_evaluation,55620,1,b2a_w8,718c641913d87b2a53abc91dc1ba7110380e801ceb6d721c33e798d43177bcbc,c3ebd728e643c2b5229535555c90d2ee36e1d07643c0abeb9acd33fb4ed4a234,22450,893256,1106942,0,893256,377124,234,,,,,,20431,893256,1106942,0,893256,377124,234,79,372,139008,590664,0.19050751570568694,22450,893256,1106942,0,893256,377124,234,,,,,,20431,893256,1106942,0,893256,377124,234,79,372,139008,590664,0.19050751570568694,1.098820419950076,1.098820419950076,1.0,1.0,0,2.529175946547884,2.779110175713377,2.529175946547884,2.779110175713377,2.4775055679287306,2.4775055679287306
case_022,4,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,eb53adb601a80c0e97e694390d8894e08c790d7e745d19b315b5d55ffbebfa4d,eb53adb601a80c0e97e694390d8894e08c790d7e745d19b315b5d55ffbebfa4d,baseline,False,True,True,0,1,1,0,G1_verified_reuse,55620,1,b2a_w8,718c641913d87b2a53abc91dc1ba7110380e801ceb6d721c33e798d43177bcbc,c3ebd728e643c2b5229535555c90d2ee36e1d07643c0abeb9acd33fb4ed4a234,21896,931884,1145570,0,931884,391318,222,,,,,,19294,931884,1145570,0,931884,391318,222,75,360,149248,604858,0.19791382113389894,21896,931884,1145570,0,931884,391318,222,,,,,,19294,931884,1145570,0,931884,391318,222,75,360,149248,604858,0.19791382113389894,1.1348605784181611,1.1348605784181611,1.0,1.0,0,2.593167701863354,2.9428837980719393,2.593167701863354,2.9428837980719393,2.540189989039094,2.540189989039094
case_022,5,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,a0c6cafcad10da8832b6aafdf709ae9eb1c62434a84304cb3f6db8e732d7d0a5,56bea7ecca5a4701b2b41106c19fc46dda60b5e86ade3a76784e271ece268f82,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,55620,1,b2a_w8,718c641913d87b2a53abc91dc1ba7110380e801ceb6d721c33e798d43177bcbc,c3ebd728e643c2b5229535555c90d2ee36e1d07643c0abeb9acd33fb4ed4a234,21407,989652,1203338,0,989652,408810,209,,,,,,18420,989652,1203338,0,989652,408810,209,87,347,172032,622350,0.2165607982053974,20553,928204,1141890,0,928204,384230,204,,,,,,17488,928204,1141890,0,928204,384230,204,82,342,159744,597770,0.210879270878162,1.1621606948968513,1.1752630375114363,1.0532936870997256,1.0415511117598404,78,2.6524034194422383,3.0825190010857764,2.7626137303556657,3.2467978042086,2.598215536973887,2.706174281126843
