case,cores,graph_sha256,baseline_plan_file_sha256,final_plan_file_sha256,final_source,plan_changed,baseline_legal,final_legal,g1_no_l2_official_calls,g1_l2_official_calls,g2_official_calls,g2_candidate_cache_hits,final_no_l2_source,best_observed_one_core_no_l2_makespan,best_observed_one_core_source_requested_cores,best_observed_one_core_candidate,best_observed_one_core_plan_file_sha256,best_observed_one_core_result_file_sha256,baseline_no_l2_makespan,baseline_no_l2_added_copy_bytes,baseline_no_l2_scheduled_copy_bytes,baseline_no_l2_spill_added_copy_bytes,baseline_no_l2_partition_added_copy_bytes,baseline_no_l2_cross_task_traffic_bytes,baseline_no_l2_cross_core_transfer_count,baseline_no_l2_copy_in_hits,baseline_no_l2_copy_in_misses,baseline_no_l2_cache_hit_bytes,baseline_no_l2_cache_miss_bytes,baseline_no_l2_cache_hit_rate_bytes,baseline_l2_makespan,baseline_l2_added_copy_bytes,baseline_l2_scheduled_copy_bytes,baseline_l2_spill_added_copy_bytes,baseline_l2_partition_added_copy_bytes,baseline_l2_cross_task_traffic_bytes,baseline_l2_cross_core_transfer_count,baseline_l2_copy_in_hits,baseline_l2_copy_in_misses,baseline_l2_cache_hit_bytes,baseline_l2_cache_miss_bytes,baseline_l2_cache_hit_rate_bytes,final_no_l2_makespan,final_no_l2_added_copy_bytes,final_no_l2_scheduled_copy_bytes,final_no_l2_spill_added_copy_bytes,final_no_l2_partition_added_copy_bytes,final_no_l2_cross_task_traffic_bytes,final_no_l2_cross_core_transfer_count,final_no_l2_copy_in_hits,final_no_l2_copy_in_misses,final_no_l2_cache_hit_bytes,final_no_l2_cache_miss_bytes,final_no_l2_cache_hit_rate_bytes,final_l2_makespan,final_l2_added_copy_bytes,final_l2_scheduled_copy_bytes,final_l2_spill_added_copy_bytes,final_l2_partition_added_copy_bytes,final_l2_cross_task_traffic_bytes,final_l2_cross_core_transfer_count,final_l2_copy_in_hits,final_l2_copy_in_misses,final_l2_cache_hit_bytes,final_l2_cache_miss_bytes,final_l2_cache_hit_rate_bytes,hardware_speedup_baseline_mean_of_ratios_member,hardware_speedup_final_mean_of_ratios_member,l2_plan_tuning_speedup_mean_of_ratios_member,no_l2_plan_tuning_speedup_mean_of_ratios_member,hardware_plan_interaction_cycles,baseline_no_l2_parallel_speedup_vs_same_case_k1,baseline_l2_parallel_speedup_vs_same_case_k1,final_no_l2_parallel_speedup_vs_same_case_k1,final_l2_parallel_speedup_vs_same_case_k1,baseline_no_l2_parallel_speedup_vs_best_observed_one_core,final_no_l2_parallel_speedup_vs_best_observed_one_core
case_003,1,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,59e61548feaac7f30e65f6e04ca4e46b9086de91c1484308305fc0f77f4d4eae,59e61548feaac7f30e65f6e04ca4e46b9086de91c1484308305fc0f77f4d4eae,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,594416,1,b0,17767abd474689e00e224679b1a9cc6be6f4ff3d7ceeb3f5a22daef840b5f9bf,222d6b45f3bd89644b4ca9b3ef0791e08e8c9271526ba8d541ddfe0c86b37c54,602212,0,1284264,0,0,0,0,,,,,,602212,0,1284264,0,0,0,0,0,198,0,1284230,0.0,602212,0,1284264,0,0,0,0,,,,,,602212,0,1284264,0,0,0,0,0,198,0,1284230,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.9870543928051916,0.9870543928051916
case_003,2,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,81907cb408bdace2ff248a3afd459d42d3160ad692c5ce8e1b9ff30cb4402e03,601d362c171a39902ac5eb40dd514d578120cad1af990c6f8bc23ce1333a7ce0,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,594416,1,b0,17767abd474689e00e224679b1a9cc6be6f4ff3d7ceeb3f5a22daef840b5f9bf,222d6b45f3bd89644b4ca9b3ef0791e08e8c9271526ba8d541ddfe0c86b37c54,388594,1862376,3146640,0,1862376,724338,949,,,,,,388179,1862376,3146640,0,1862376,724338,949,56,1148,409604,2012664,0.1690993729843271,377408,1827564,3111828,0,1827564,707956,948,,,,,,377408,1827564,3111828,0,1827564,707956,948,55,1147,378884,2024954,0.15761627863441713,1.0010690944126293,1.0,1.0285394056299813,1.0296390113617093,-415,1.549720273601754,1.5513770708874,1.5956524503985077,1.5956524503985077,1.5296582036778745,1.574995760556215
case_003,3,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,b4181f8f66d508a46da2880f6070b582ad6b4e8cf8615c3013b7576e143e91c8,ab66ba26da8a807c6d7d45f42d89dfdccf96dfdab75106047422803848b74f84,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,594416,1,b0,17767abd474689e00e224679b1a9cc6be6f4ff3d7ceeb3f5a22daef840b5f9bf,222d6b45f3bd89644b4ca9b3ef0791e08e8c9271526ba8d541ddfe0c86b37c54,299116,2730816,4015080,0,2730816,1022364,1264,,,,,,298682,2730816,4015080,0,2730816,1022364,1264,189,1371,783496,2209186,0.2618039604608843,299112,2719744,4004008,0,2719744,1017852,1255,,,,,,298678,2719744,4004008,0,2719744,1017852,1255,189,1361,781576,2204546,0.2617361246459455,1.0014530504014303,1.0014530698611883,1.0000133923489511,1.000013372917168,0,2.013305874643951,2.016231309553304,2.0133327984166467,2.0162583116265678,1.98724240762781,1.9872689828559202
case_003,4,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,536b41d356209ffde30f91036674e0c0fae901ef79171ad41e19d7b8453631f4,432073ebf7e1cfe5aaf1cfcf7f1a1c2482c4d39993438a8a191b0424fe0aab20,baseline,True,True,True,0,1,1,0,new_official_evaluation,594416,1,b0,17767abd474689e00e224679b1a9cc6be6f4ff3d7ceeb3f5a22daef840b5f9bf,222d6b45f3bd89644b4ca9b3ef0791e08e8c9271526ba8d541ddfe0c86b37c54,286318,3410168,4694432,0,3410168,1181814,1417,,,,,,283719,3410168,4694432,0,3410168,1181814,1417,309,1456,1070860,2441724,0.3048638836822123,285820,3410168,4694432,0,3410168,1181814,1417,,,,,,282812,3410168,4694432,0,3410168,1181814,1417,318,1447,1192716,2319868,0.33955515369881545,1.0091604721573106,1.0106360409034978,1.0032070774931756,1.0017423553285285,409,2.103297731892511,2.122564932204047,2.106962423903156,2.1293721624259225,2.0760692656416992,2.079686515989084
case_003,5,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,5c8a7079fcd12825c100e6acab78efff8c62fe40878207af48059e9128c2dac1,b290cf2df195cc0c8ae370ccfaf802719f39ecd3bf6b06b30ad49be97970fb4d,mapping_balanced_one_move,True,True,True,0,1,2,0,new_official_evaluation,594416,1,b0,17767abd474689e00e224679b1a9cc6be6f4ff3d7ceeb3f5a22daef840b5f9bf,222d6b45f3bd89644b4ca9b3ef0791e08e8c9271526ba8d541ddfe0c86b37c54,252968,4152832,5437096,0,4152832,1354488,1674,,,,,,250029,4152832,5437096,0,4152832,1354488,1674,421,1642,1599888,2482686,0.39188218021277754,251552,4120064,5404328,0,4120064,1354488,1674,,,,,,248604,4120064,5404328,0,4120064,1354488,1674,416,1646,1560976,2488830,0.3854446361134336,1.0117546364621703,1.0118582162797058,1.0057320075300478,1.00562905482763,9,2.380585686727175,2.4085686060416993,2.3939861340796336,2.422374539428167,2.3497675595332215,2.3629945299580206
case_004,1,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,2be095fa21b5a684c0942382e4142aacda3287bbe85f3ede09ab7a5f720f5245,2be095fa21b5a684c0942382e4142aacda3287bbe85f3ede09ab7a5f720f5245,G1_baseline,False,True,True,0,1,0,0,G1_verified_reuse,392357,1,b0,c52ed5ad9f327a396ab43e0e4460d16b8a9956cfd09b5a68a6512f493459bab0,e5d07fe5551991dd5e86668fc1c0a626fd8673d98b2621aed3fcd9eb3b229511,392357,0,792576,0,0,0,0,,,,,,392357,0,792576,0,0,0,0,0,114,0,451584,0.0,392357,0,792576,0,0,0,0,,,,,,392357,0,792576,0,0,0,0,0,114,0,451584,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
case_004,2,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,153efedc0481ace780237a398af087e89467a9caa35bb18429ab91d7799f258b,d0017a7c34d4230bc2fd38f8dd5cd7431eebd8fef3b15cece695ee5c9e6c443b,baseline,True,True,True,0,1,1,0,new_official_evaluation,392357,1,b0,c52ed5ad9f327a396ab43e0e4460d16b8a9956cfd09b5a68a6512f493459bab0,e5d07fe5551991dd5e86668fc1c0a626fd8673d98b2621aed3fcd9eb3b229511,216172,2909184,3701760,995328,1913856,768000,139,,,,,,213361,2909184,3701760,995328,1913856,768000,139,58,418,211968,1944576,0.09829059829059829,207430,2657280,3449856,743424,1913856,768000,139,,,,,,206499,2657280,3449856,743424,1913856,768000,139,112,342,377856,1649664,0.18636363636363637,1.0131748538861367,1.0045084964091835,1.0332301851340684,1.0421443378489128,-1880,1.8150222970597487,1.838934950623591,1.8915152099503447,1.9000430994823219,1.8150222970597487,1.8915152099503447
case_004,3,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,f6f1db5950bf65b3b0192fd002fe999a00e76b8035899cab3429d3ce94b09d4e,78a05828356b6742ea20fe76b6deda8dc04514987d0f095df4a11695f052dee8,baseline,True,True,True,0,1,1,0,new_official_evaluation,392357,1,b0,c52ed5ad9f327a396ab43e0e4460d16b8a9956cfd09b5a68a6512f493459bab0,e5d07fe5551991dd5e86668fc1c0a626fd8673d98b2621aed3fcd9eb3b229511,143994,2350080,3142656,2128896,221184,0,0,,,,,,143994,2350080,3142656,2128896,221184,0,0,0,354,0,1861632,0.0,131643,221184,1013760,0,221184,0,0,,,,,,131643,221184,1013760,0,221184,0,0,0,120,0,672768,0.0,1.0,1.0,1.0938219274857,1.0938219274857,0,2.7248149228440073,2.7248149228440073,2.980462310947031,2.980462310947031,2.7248149228440073,2.980462310947031
case_004,4,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,69c434d6e8615b7209d08951fc7c987b18e03aef48b0a325161c03c2d3e3f20f,4537f956bfa807752b7837f5b20f0afa0b29903c171c7723f176769c6919a7b6,mapping_locality_one_move,True,True,True,0,1,1,0,new_official_evaluation,392357,1,b0,c52ed5ad9f327a396ab43e0e4460d16b8a9956cfd09b5a68a6512f493459bab0,e5d07fe5551991dd5e86668fc1c0a626fd8673d98b2621aed3fcd9eb3b229511,113976,3446784,4239360,196608,3250176,1277952,222,,,,,,112070,3446784,4239360,196608,3250176,1277952,222,33,490,202752,2319360,0.08038976857490865,107889,3207168,3999744,0,3207168,1277952,222,,,,,,107889,3207168,3999744,0,3207168,1277952,222,76,417,334848,2045952,0.1406451612903226,1.0170072276255913,1.0,1.0387527922216353,1.0564190974056669,-1906,3.442452797080087,3.500999375390381,3.636672876752959,3.636672876752959,3.442452797080087,3.636672876752959
case_004,5,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,c1a364a4a28a8184781c5258eabee020929416cb0071c1e5fa284f4c30261158,eec5d026cd34ce0df4b3f7b9e2f3df324b8e4f23467590285e1f4c664e679d7e,baseline,True,True,True,0,1,1,0,new_official_evaluation,392357,1,b0,c52ed5ad9f327a396ab43e0e4460d16b8a9956cfd09b5a68a6512f493459bab0,e5d07fe5551991dd5e86668fc1c0a626fd8673d98b2621aed3fcd9eb3b229511,98907,4343808,5136384,73728,4270080,1643520,290,,,,,,95927,4343808,5136384,73728,4270080,1643520,290,51,569,359424,2755584,0.11538461538461539,92857,4270080,5062656,0,4270080,1643520,290,,,,,,87834,4270080,5062656,0,4270080,1643520,290,74,540,463872,2614272,0.1506986027944112,1.0310652892303522,1.0571874217273494,1.0921397181046064,1.0651539463906867,2043,3.9669285288200027,4.090162310923931,4.225389577522427,4.467028713254549,3.9669285288200027,4.225389577522427
