cores,cases,mean_no_l2_makespan,mean_l2_makespan,mean_of_case_speedup_ratios,median_of_case_speedup_ratios,ratio_of_mean_makespans,l2_faster_cases,l2_slower_cases
1,100,3124793.73,3116693.1,1.0086217156663206,1.0,1.0025991105765273,25,0
2,100,1755390.51,1754663.42,1.002940771999695,1.0000057282275105,1.0004143757667212,51,3
3,100,1283278.07,1280369.53,1.0096203930174448,1.0000544796914719,1.0022716410628736,55,2
4,100,1022899.81,1007366.95,1.0180428311151082,1.0011449370730796,1.015419267030748,64,0
5,100,899929.62,886256.11,1.0256565436639677,1.0014056671857876,1.0154283957489445,63,1
