case,cores,t_i_1,final_makespan,final_speedup,final_added_copy_bytes,officially_measured
case_003,3,602212,330665,1.8212148246714956,5083146,True
case_004,3,392357,173560,2.260641852961512,2439168,True
case_005,3,95618,65628,1.456969586152252,2496356,True
case_006,3,82837,53096,1.5601363567877051,2066536,True
case_007,3,1012562,429420,2.357975874435285,4486656,True
case_008,3,487605,166440,2.929614275414564,0,True
case_009,3,153261,100723,1.5216087686030002,505458,True
case_010,3,86969,47147,1.8446348654209173,592314,True
case_011,3,184697,94212,1.9604402836156756,1261568,True
case_012,3,59088,32790,1.8020128087831653,1129212,True
case_013,3,263949,112530,2.3455878432418023,167936,True
case_014,3,17698626,8687186,2.0373255505292507,262318608,True
case_015,3,177362,97318,1.8224994348424752,3214384,True
case_016,3,7715523,7715523,1.0,0,True
case_017,3,162810,79783,2.0406602910394445,2091028,True
case_018,3,1004367,467483,2.148456735325135,9836456,True
case_019,3,81144,39913,2.033021822463859,1042592,True
case_020,3,532746,179492,2.96807657165779,0,True
case_021,3,6567937,2822635,2.3268814423402246,72744960,True
case_022,3,56780,29789,1.9060727114035385,1346040,True
case_023,3,122614,52621,2.330134357005758,1791800,True
case_024,3,2555343,2555343,1.0,0,True
case_025,3,4863026,2051388,2.370602733368821,20699136,True
case_026,3,99203,66096,1.50089264100702,2323608,True
case_027,3,2363952,750886,3.1482169064278733,4620288,True
case_028,3,43836040,13744872,3.189265058270459,52442112,True
case_029,3,37555,13976,2.6871064682312538,122958,True
case_030,3,2808034,1723596,1.6291718012805785,66977792,True
case_031,3,1414369,697002,2.029217993635599,17801292,True
case_032,3,41443,25171,1.646458225735966,1045676,True
case_033,3,1774196,724891,2.44753487075988,9530372,True
case_034,3,842996,438919,1.920618610723163,15055988,True
case_035,3,169571,99355,1.706718333249459,529812,True
case_036,3,931510,390499,2.3854350459284146,147840,True
case_037,3,210001,91873,2.2857749284338165,1978368,True
case_038,3,1364555,795870,1.7145450890220764,22706176,True
case_039,3,1435262,702273,2.043737976541886,15388672,True
case_040,3,253454,133644,1.8964861871838616,871760,True
case_041,3,6003957,3425567,1.752689992634796,106948624,True
case_042,3,1686740,756202,2.2305415748702067,19459104,True
case_043,3,677656,286671,2.3638805459917465,5522026,True
case_044,3,154407,87589,1.762858349792782,2915104,True
case_045,3,125614,55620,2.258432218626393,323584,True
case_046,3,276455,133612,2.069088105858756,5012448,True
case_047,3,326508,233731,1.3969392164496792,1747908,True
case_048,3,222220,163641,1.3579726352197798,651072,True
case_049,3,196276,119670,1.6401437285869471,2958270,True
case_050,3,149690,75193,1.990743819238493,2598792,True
case_051,3,607628,607628,1.0,0,True
case_052,3,180301,88831,2.029708097398431,2746432,True
case_053,3,1472686,588970,2.500443146510009,5521516,True
case_054,3,815051,440388,1.850756605538752,6895214,True
case_055,3,118835,60780,1.955166173083251,2001636,True
case_056,3,277285,182132,1.5224397689587772,3059426,True
case_057,3,59726,28308,2.109862936272432,1137280,True
case_058,3,4539717,1529236,2.968617662676003,34037760,True
case_059,3,829473,370884,2.2364755556993563,5046272,True
case_060,3,888789,427246,2.080274595900254,6721662,True
case_061,3,77191,42307,1.8245444016356631,1338952,True
case_062,3,2854809,1192564,2.393841336817144,247296,True
case_063,3,1070397,448490,2.3866685990769025,287232,True
case_064,3,19116,16935,1.128786536758193,57242,True
case_065,3,53068,24538,2.162686445513082,300856,True
case_066,3,359070,144846,2.478977672838739,2295066,True
case_067,3,63834834,21639488,2.949923491720322,220745600,True
case_068,3,362095,187358,1.9326369837423545,3255914,True
case_069,3,25144,18665,1.3471202785963032,503702,True
case_070,3,117300,55893,2.0986527829960817,1984970,True
case_071,3,18919,14761,1.2816882325045729,354068,True
case_072,3,23897828,11493060,2.0793268285382656,233614562,True
case_073,3,10081626,4360653,2.3119532785571337,137655680,True
case_074,3,1682239,693574,2.425464334014828,14942512,True
case_075,3,1441809,952515,1.5136863986393916,4172632,True
case_076,3,6185113,3515382,1.7594426437866495,49615880,True
case_077,3,495320,244792,2.023432138305173,4638158,True
case_078,3,2296143,765122,3.001015524321612,14693376,True
case_079,3,31052251,10180207,3.050257327773394,35033088,True
case_080,3,292138,119704,2.4405032413286105,4263936,True
case_081,3,151795,66182,2.2935994681333294,807488,True
case_082,3,721041,375126,1.922130164264807,4377220,True
case_083,3,1057993,341275,3.100118672624716,7032800,True
case_084,3,2507412,836541,2.9973569735374594,82944,True
case_085,3,3187899,2140299,1.4894643225082105,10641880,True
case_086,3,118403,83924,1.410835994471188,3269108,True
case_087,3,3974071,1591733,2.496694483308444,28326240,True
case_088,3,243623,123889,1.966461913487073,2809516,True
case_089,3,693092,239513,2.893755245018016,2832000,True
case_090,3,1178363,432618,2.723795588717991,11635968,True
case_091,3,9186769,4742807,1.936989845886624,145184784,True
case_092,3,4815554,1425631,3.377840408913667,15557600,True
case_093,3,74205,33714,2.201014415376401,200704,True
case_094,3,94892,50213,1.889789496743871,1612308,True
case_095,3,2084853,697770,2.987879960445419,221184,True
case_096,3,84194,42878,1.9635710620831195,1267472,True
case_097,3,11491509,4316892,2.661986679305389,84934656,True
case_098,3,177430,94026,1.8870312466764512,2386102,True
case_099,3,1622999,789639,2.0553683392031044,16063104,True
case_100,3,151223,82961,1.822820361374622,2516336,True
case_001,4,233110,61884,3.766886432680499,115584,True
case_002,4,261945,85390,3.067630870125307,281088,True
case_003,4,602212,309465,1.9459777357697965,5901106,True
case_004,4,392357,139406,2.814491485301924,2715648,True
case_005,4,95618,62536,1.5290072917999231,1758192,True
case_006,4,82837,53096,1.5601363567877051,2066536,True
case_007,4,1012562,328001,3.08706985649434,4580352,True
case_008,4,487605,126466,3.855621273702023,442368,True
case_009,4,153261,98845,1.5505184885426675,554610,True
case_010,4,86969,44496,1.9545352391226176,680338,True
case_011,4,184697,49484,3.7324589766389136,1622016,True
case_012,4,59088,23464,2.5182407091714967,317640,True
case_013,4,263949,86044,3.067604946306541,290816,True
case_014,4,17698626,8237041,2.1486630939435654,266032656,True
case_015,4,177362,85038,2.085679343352384,3345456,True
case_016,4,7715523,7715523,1.0,0,True
case_017,4,162810,79737,2.0418375409157608,2149396,True
case_018,4,1004367,393004,2.555615210023308,9836456,True
case_019,4,81144,27047,3.0001109180315746,266552,True
case_020,4,532746,135660,3.927067669172932,0,True
case_021,4,6567937,1557596,4.216714090174859,9523200,True
case_022,4,56780,28322,2.0048019207683074,1346040,True
case_023,4,122614,43979,2.788012460492508,1840952,True
case_024,4,2555343,2555343,1.0,0,True
case_025,4,4863026,1562605,3.112127505031662,20795904,True
case_026,4,99203,65030,1.5254959249577118,2324760,True
case_027,4,2363952,565244,4.182179731231114,5529600,True
case_028,4,43836040,10285826,4.261790934437351,56736768,True
case_029,4,37555,13976,2.6871064682312538,122958,True
case_030,4,2808034,1386306,2.0255513573482333,19053060,True
case_031,4,1414369,583325,2.424667209531565,17828940,True
case_032,4,41443,21007,1.97281858428143,399580,True
case_033,4,1774196,538947,3.291967484743398,10082308,True
case_034,4,842996,381731,2.208350906790384,15060596,True
case_035,4,169571,98103,1.7284996381354292,534420,True
case_036,4,931510,236236,3.943133138048392,17280,True
case_037,4,210001,70758,2.9678764238672657,2191360,True
case_038,4,1364555,754961,1.8074509809115968,10424836,True
case_039,4,1435262,565084,2.539909110857854,16969728,True
case_040,4,253454,127075,1.9945229195357077,896336,True
case_041,4,6003957,2164802,2.773443945450901,28938252,True
case_042,4,1686740,623840,2.7038022569889715,19532832,True
case_043,4,677656,286671,2.3638805459917465,5522026,True
case_044,4,154407,87589,1.762858349792782,2915104,True
case_045,4,125614,44141,2.845744319340296,466944,True
case_046,4,276455,133612,2.069088105858756,5012448,True
case_047,4,326508,217701,1.4998001846569378,1801306,True
case_048,4,222220,163641,1.3579726352197798,651072,True
case_049,4,196276,112197,1.7493872385179638,1570092,True
case_050,4,149690,67066,2.231980437181284,2694180,True
case_051,4,607628,607628,1.0,0,True
case_052,4,180301,82250,2.1921094224924014,2801728,True
case_053,4,1472686,494780,2.9764460972553457,7431276,True
case_054,4,815051,365690,2.2288030845798352,7141466,True
case_055,4,118835,52781,2.2514730679600614,2018020,True
case_056,4,277285,164272,1.6879626473166456,3187008,True
case_057,4,59726,26544,2.250075346594334,1153668,True
case_058,4,4539717,1529236,2.968617662676003,34037760,True
case_059,4,829473,187820,4.416318815887552,5406720,True
case_060,4,888789,388078,2.2902328913259704,7163986,True
case_061,4,77191,41145,1.8760724267833275,1338952,True
case_062,4,2854809,895100,3.1893743715785945,431616,True
case_063,4,1070397,338258,3.1644395697958365,370176,True
case_064,4,19116,16072,1.1893977103036335,121864,True
case_065,4,53068,23966,2.2143035967620794,890544,True
case_066,4,359070,128719,2.789564866103684,2372426,True
case_067,4,63834834,16587795,3.848301356509409,221991552,True
case_068,4,362095,171172,2.115386862337298,3259502,True
case_069,4,25144,18008,1.396268325188805,503706,True
case_070,4,117300,50978,2.3009925850366826,2083274,True
case_071,4,18919,14363,1.3172039267562488,354072,True
case_072,4,23897828,7571188,3.1564171963501635,232385762,True
case_073,4,10081626,3484122,2.8935915562084222,111917696,True
case_074,4,1682239,568390,2.9596562219602736,14958896,True
case_075,4,1441809,818188,1.7621976856174864,4172888,True
case_076,4,6185113,3048404,2.028967617153107,52178944,True
case_077,4,495320,188985,2.6209487525464983,4667094,True
case_078,4,2296143,632100,3.632562885619364,15432576,True
case_079,4,31052251,7723180,4.020656128693103,35672064,True
case_080,4,292138,119704,2.4405032413286105,4263936,True
case_081,4,151795,52379,2.898012562286413,944662,True
case_082,4,721041,294915,2.444911245613143,4443548,True
case_083,4,1057993,287302,3.6825117820272735,8893600,True
case_084,4,2507412,630754,3.975261353871716,101376,True
case_085,4,3187899,2011650,1.5847185146521512,11791620,True
case_086,4,118403,75245,1.573566349923583,2084406,True
case_087,4,3974071,1387347,2.864511185737959,35818216,True
case_088,4,243623,112669,2.1622895383823413,2964660,True
case_089,4,693092,193916,3.5741867612780798,3711872,True
case_090,4,1178363,400988,2.938649036878909,15932928,True
case_091,4,9186769,4138533,2.219812914382947,145184784,True
case_092,4,4815554,1116964,4.311288456924306,17418400,True
case_093,4,74205,26594,2.790291043092427,286720,True
case_094,4,94892,34140,2.7794961921499706,759080,True
case_095,4,2084853,527479,3.952485312211482,221184,True
case_096,4,84194,41415,2.0329349269588315,1341200,True
case_097,4,11491509,2583836,4.447460674748707,14483456,True
case_098,4,177430,94026,1.8870312466764512,2386102,True
case_099,4,1622999,658914,2.463142382769224,16128640,True
case_100,4,151223,76975,1.9645729132835337,2590064,True
case_001,5,233110,50628,4.604369123805009,21888,True
case_002,5,261945,69680,3.759256601607348,264192,True
case_003,5,602212,293180,2.054069172522,6110028,True
case_004,5,392357,116154,3.3779034729755324,3072000,True
case_005,5,95618,61582,1.5526939690169206,1802168,True
case_006,5,82837,41337,2.0039431985872223,849150,True
case_007,5,1012562,208922,4.846603038454543,671232,True
case_008,5,487605,122980,3.9649129939827614,667008,True
case_009,5,153261,96659,1.585584373933105,2157712,True
case_010,5,86969,40860,2.12846304454234,713736,True
case_011,5,184697,49484,3.7324589766389136,1622016,True
case_012,5,59088,23464,2.5182407091714967,317640,True
case_013,5,263949,70094,3.765643279025309,360448,True
case_014,5,17698626,6890740,2.5684652156372176,262318608,True
case_015,5,177362,78844,2.2495307188879305,3443760,True
case_016,5,7715523,7715523,1.0,0,True
case_017,5,162810,62170,2.618787196396976,936404,True
case_018,5,1004367,323742,3.102368552736438,9836456,True
case_019,5,81144,24792,3.272991287512101,378136,True
case_020,5,532746,135660,3.927067669172932,0,True
case_021,5,6567937,1249504,5.256435353548288,8908800,True
case_022,5,56780,28322,2.0048019207683074,1346040,True
case_023,5,122614,43602,2.8121187101509104,1890104,True
case_024,5,2555343,2555343,1.0,0,True
case_025,5,4863026,979918,4.962686673782908,694272,True
case_026,5,99203,64735,1.5324476712751989,1166722,True
case_027,5,2363952,565244,4.182179731231114,5529600,True
case_028,5,43836040,8251690,5.312371162755751,61025280,True
case_029,5,37555,13976,2.6871064682312538,122958,True
case_030,5,2808034,1386306,2.0255513573482333,19053060,True
case_031,5,1414369,481753,2.935880004898776,17856588,True
case_032,5,41443,21007,1.97281858428143,399580,True
case_033,5,1774196,538947,3.291967484743398,10082308,True
case_034,5,842996,363718,2.3177186721581005,15069812,True
case_035,5,169571,97043,1.7473800274105291,534420,True
case_036,5,931510,190308,4.894749563864893,21888,True
case_037,5,210001,46592,4.507233001373627,1925120,True
case_038,5,1364555,737342,1.850640544008072,11362820,True
case_039,5,1435262,537968,2.667931921601285,18665472,True
case_040,5,253454,119987,2.112345504096277,920912,True
case_041,5,6003957,2012046,2.984005832868632,31777808,True
case_042,5,1686740,565621,2.9821028568599823,19606560,True
case_043,5,677656,237206,2.856824869522693,5690482,True
case_044,5,154407,87589,1.762858349792782,2915104,True
case_045,5,125614,36900,3.404173441734417,450560,True
case_046,5,276455,133612,2.069088105858756,5012448,True
case_047,5,326508,213351,1.530379515446377,1828066,True
case_048,5,222220,163641,1.3579726352197798,651072,True
case_049,5,196276,106993,1.8344751525800755,3030208,True
case_050,5,149690,64330,2.32690812995492,2744404,True
case_051,5,607628,607628,1.0,0,True
case_052,5,180301,72062,2.502026033138131,2857024,True
case_053,5,1472686,494780,2.9764460972553457,7431276,True
case_054,5,815051,309877,2.630240385701424,7332666,True
case_055,5,118835,46207,2.5717964810526546,894358,True
case_056,5,277285,160648,1.726040784821473,3267474,True
case_057,5,59726,26476,2.255854358664451,1165960,True
case_058,5,4539717,972688,4.667187217278305,39665664,True
case_059,5,829473,187820,4.416318815887552,5406720,True
case_060,5,888789,331141,2.6840197982128458,8007770,True
case_061,5,77191,40974,1.883901986625665,1338952,True
case_062,5,2854809,718658,3.9724166432433785,529920,True
case_063,5,1070397,271928,3.936325056632638,364032,True
case_064,5,19116,16072,1.1893977103036335,121864,True
case_065,5,53068,22977,2.309613961787875,916148,True
case_066,5,359070,115064,3.120611138149204,2445690,True
case_067,5,63834834,13419797,4.756765992808982,221533568,True
case_068,5,362095,170197,2.127505185167776,3266674,True
case_069,5,25144,18008,1.396268325188805,503706,True
case_070,5,117300,46898,2.5011727579001235,954568,True
case_071,5,18919,14363,1.3172039267562488,354072,True
case_072,5,23897828,7359577,3.2471741242737187,232385762,True
case_073,5,10081626,3143181,3.207459576779065,114050432,True
