case,cores,t_i_1,old_winner,old_makespan,old_added_copy_bytes,old_speedup,projected_fallback_source_cores,projected_fallback_makespan,projected_fallback_added_copy_bytes,pre_reevaluation_projected_winner,pre_reevaluation_projected_makespan,pre_reevaluation_projected_added_copy_bytes,pre_reevaluation_projected_speedup,measured_fallback_best_source_cores,measured_fallback_makespan,measured_fallback_added_copy_bytes,final_winner,final_makespan,final_added_copy_bytes,final_speedup,reported_value_kind,officially_measured,makespan_improvement,added_copy_bytes_change,projection_makespan_error,projection_added_copy_bytes_error,fallback_group_status
case_006,4,82837,b2a_w4,54589,2082920,1.517466888933668,3,53096,2066536,inherit_k3,53096,2066536,1.5601363567877053,3,53096,2066536,inherit_k3,53096,2066536,1.5601363567877053,officially_measured_after_fallback,True,1493,-16384,0,0,success
case_006,5,82837,b1,41337,849150,2.0039431985872223,3,53096,2066536,b1,41337,849150,2.0039431985872223,3,53096,2066536,b1,41337,849150,2.0039431985872223,officially_measured_after_fallback,True,0,0,0,0,success
case_007,1,1012562,single_core_baseline,1012562,0,1.0,,,,single_core_baseline,1012562,0,1.0,,,,single_core_baseline,1012562,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_007,2,1012562,b1,620166,4403712,1.6327273665437962,,,,b1,620166,4403712,1.6327273665437962,,,,b1,620166,4403712,1.6327273665437962,officially_measured_original,True,0,0,0,0,not_applicable
case_007,3,1012562,b1,429420,4486656,2.357975874435285,2,620166,4403712,b1,429420,4486656,2.357975874435285,2,620166,4403712,b1,429420,4486656,2.357975874435285,officially_measured_after_fallback,True,0,0,0,0,success
case_007,4,1012562,b1,328001,4580352,3.08706985649434,3,429420,4486656,b1,328001,4580352,3.08706985649434,3,429420,4486656,b1,328001,4580352,3.08706985649434,officially_measured_after_fallback,True,0,0,0,0,success
case_007,5,1012562,b0,208922,671232,4.846603038454543,4,328001,4580352,b0,208922,671232,4.846603038454543,4,328001,4580352,b0,208922,671232,4.846603038454543,officially_measured_after_fallback,True,0,0,0,0,success
case_008,1,487605,single_core_baseline,487605,0,1.0,,,,single_core_baseline,487605,0,1.0,,,,single_core_baseline,487605,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_008,2,487605,b0,244924,147456,1.9908420571279255,,,,b0,244924,147456,1.9908420571279255,,,,b0,244924,147456,1.9908420571279255,officially_measured_original,True,0,0,0,0,not_applicable
case_008,3,487605,b0,166440,0,2.929614275414564,2,244924,147456,b0,166440,0,2.929614275414564,2,244924,147456,b0,166440,0,2.929614275414564,officially_measured_after_fallback,True,0,0,0,0,success
case_008,4,487605,b0,126466,442368,3.8556212737020226,3,166440,0,b0,126466,442368,3.8556212737020226,3,166440,0,b0,126466,442368,3.8556212737020226,officially_measured_after_fallback,True,0,0,0,0,success
case_008,5,487605,b1,122980,667008,3.9649129939827614,4,126466,442368,b1,122980,667008,3.9649129939827614,4,126466,442368,b1,122980,667008,3.9649129939827614,officially_measured_after_fallback,True,0,0,0,0,success
case_009,1,153261,single_core_baseline,153261,0,1.0,,,,single_core_baseline,153261,0,1.0,,,,single_core_baseline,153261,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_009,2,153261,b2a_w4,103393,456306,1.4823150503418994,,,,b2a_w4,103393,456306,1.4823150503418994,,,,b2a_w4,103393,456306,1.4823150503418994,officially_measured_original,True,0,0,0,0,not_applicable
case_009,3,153261,b2a_w4,100723,505458,1.5216087686030002,2,103393,456306,b2a_w4,100723,505458,1.5216087686030002,2,103393,456306,b2a_w4,100723,505458,1.5216087686030002,officially_measured_after_fallback,True,0,0,0,0,success
case_009,4,153261,b2a_w4,98845,554610,1.5505184885426677,3,100723,505458,b2a_w4,98845,554610,1.5505184885426677,3,100723,505458,b2a_w4,98845,554610,1.5505184885426677,officially_measured_after_fallback,True,0,0,0,0,success
case_009,5,153261,b2a_w16,96659,2157712,1.585584373933105,4,98845,554610,b2a_w16,96659,2157712,1.585584373933105,4,98845,554610,b2a_w16,96659,2157712,1.585584373933105,officially_measured_after_fallback,True,0,0,0,0,success
case_010,1,86969,single_core_baseline,86969,0,1.0,,,,single_core_baseline,86969,0,1.0,,,,single_core_baseline,86969,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_010,2,86969,b1,66374,582646,1.3102871606351885,,,,b1,66374,582646,1.3102871606351885,,,,b1,66374,582646,1.3102871606351885,officially_measured_original,True,0,0,0,0,not_applicable
case_010,3,86969,b1,47147,592314,1.8446348654209175,2,66374,582646,b1,47147,592314,1.8446348654209175,2,66374,582646,b1,47147,592314,1.8446348654209175,officially_measured_after_fallback,True,0,0,0,0,success
case_010,4,86969,b1,44496,680338,1.9545352391226178,3,47147,592314,b1,44496,680338,1.9545352391226178,3,47147,592314,b1,44496,680338,1.9545352391226178,officially_measured_after_fallback,True,0,0,0,0,success
case_010,5,86969,b1,40860,713736,2.1284630445423396,4,44496,680338,b1,40860,713736,2.1284630445423396,4,44496,680338,b1,40860,713736,2.1284630445423396,officially_measured_after_fallback,True,0,0,0,0,success
case_011,1,184697,single_core_baseline,184697,0,1.0,,,,single_core_baseline,184697,0,1.0,,,,single_core_baseline,184697,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_011,2,184697,b0,94212,1261568,1.9604402836156753,,,,b0,94212,1261568,1.9604402836156753,,,,b0,94212,1261568,1.9604402836156753,officially_measured_original,True,0,0,0,0,not_applicable
case_011,3,184697,b2a_w4,98432,3145728,1.876391823797139,2,94212,1261568,inherit_k2,94212,1261568,1.9604402836156753,2,94212,1261568,inherit_k2,94212,1261568,1.9604402836156753,officially_measured_after_fallback,True,4220,-1884160,0,0,success
case_011,4,184697,b0,49484,1622016,3.7324589766389136,2,94212,1261568,b0,49484,1622016,3.7324589766389136,2,94212,1261568,b0,49484,1622016,3.7324589766389136,officially_measured_after_fallback,True,0,0,0,0,success
case_011,5,184697,b2a_w4,69119,3145728,2.6721596087906363,4,49484,1622016,inherit_k4,49484,1622016,3.7324589766389136,4,49484,1622016,inherit_k4,49484,1622016,3.7324589766389136,officially_measured_after_fallback,True,19635,-1523712,0,0,success
case_012,1,59088,single_core_baseline,59088,0,1.0,,,,single_core_baseline,59088,0,1.0,,,,single_core_baseline,59088,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_012,2,59088,b2a_w4,40550,1124538,1.4571639950678175,,,,b2a_w4,40550,1124538,1.4571639950678175,,,,b2a_w4,40550,1124538,1.4571639950678175,officially_measured_original,True,0,0,0,0,not_applicable
case_012,3,59088,b2a_w4,32790,1129212,1.8020128087831655,2,40550,1124538,b2a_w4,32790,1129212,1.8020128087831655,2,40550,1124538,b2a_w4,32790,1129212,1.8020128087831655,officially_measured_after_fallback,True,0,0,0,0,success
case_012,4,59088,b1,23464,317640,2.5182407091714967,3,32790,1129212,b1,23464,317640,2.5182407091714967,3,32790,1129212,b1,23464,317640,2.5182407091714967,officially_measured_after_fallback,True,0,0,0,0,success
case_012,5,59088,b1,25884,421498,2.2828001854427447,4,23464,317640,inherit_k4,23464,317640,2.5182407091714967,4,23464,317640,inherit_k4,23464,317640,2.5182407091714967,officially_measured_after_fallback,True,2420,-103858,0,0,success
case_013,1,263949,single_core_baseline,263949,0,1.0,,,,single_core_baseline,263949,0,1.0,,,,single_core_baseline,263949,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_013,2,263949,b1,166316,131072,1.587033117679598,,,,b1,166316,131072,1.587033117679598,,,,b1,166316,131072,1.587033117679598,officially_measured_original,True,0,0,0,0,not_applicable
case_013,3,263949,b1,112530,167936,2.3455878432418023,2,166316,131072,b1,112530,167936,2.3455878432418023,2,166316,131072,b1,112530,167936,2.3455878432418023,officially_measured_after_fallback,True,0,0,0,0,success
case_013,4,263949,b1,86044,290816,3.067604946306541,3,112530,167936,b1,86044,290816,3.067604946306541,3,112530,167936,b1,86044,290816,3.067604946306541,officially_measured_after_fallback,True,0,0,0,0,success
case_013,5,263949,b1,70094,360448,3.765643279025309,4,86044,290816,b1,70094,360448,3.765643279025309,4,86044,290816,b1,70094,360448,3.765643279025309,officially_measured_after_fallback,True,0,0,0,0,success
case_014,1,17698626,single_core_baseline,17698626,71010720,1.0,,,,single_core_baseline,17698626,71010720,1.0,,,,single_core_baseline,17698626,71010720,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_014,2,17698626,b2a_w4,11873679,265001472,1.4905764253859313,,,,b2a_w4,11873679,265001472,1.4905764253859313,,,,b2a_w4,11873679,265001472,1.4905764253859313,officially_measured_original,True,0,0,0,0,not_applicable
case_014,3,17698626,b2a_w4,8687186,262318608,2.0373255505292507,2,11873679,265001472,b2a_w4,8687186,262318608,2.0373255505292507,2,11873679,265001472,b2a_w4,8687186,262318608,2.0373255505292507,officially_measured_after_fallback,True,0,0,0,0,success
case_014,4,17698626,b2a_w4,8237041,266032656,2.1486630939435654,3,8687186,262318608,b2a_w4,8237041,266032656,2.1486630939435654,3,8687186,262318608,b2a_w4,8237041,266032656,2.1486630939435654,officially_measured_after_fallback,True,0,0,0,0,success
case_014,5,17698626,b2a_w4,6890740,262318608,2.5684652156372176,4,8237041,266032656,b2a_w4,6890740,262318608,2.5684652156372176,4,8237041,266032656,b2a_w4,6890740,262318608,2.5684652156372176,officially_measured_after_fallback,True,0,0,0,0,success
case_015,1,177362,single_core_baseline,177362,180256,1.0,,,,single_core_baseline,177362,180256,1.0,,,,single_core_baseline,177362,180256,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_015,2,177362,b2a_w4,113380,3050540,1.5643146939495503,,,,b2a_w4,113380,3050540,1.5643146939495503,,,,b2a_w4,113380,3050540,1.5643146939495503,officially_measured_original,True,0,0,0,0,not_applicable
case_015,3,177362,b2a_w4,97318,3214384,1.8224994348424752,2,113380,3050540,b2a_w4,97318,3214384,1.8224994348424752,2,113380,3050540,b2a_w4,97318,3214384,1.8224994348424752,officially_measured_after_fallback,True,0,0,0,0,success
case_015,4,177362,b2a_w4,85038,3345456,2.0856793433523837,3,97318,3214384,b2a_w4,85038,3345456,2.0856793433523837,3,97318,3214384,b2a_w4,85038,3345456,2.0856793433523837,officially_measured_after_fallback,True,0,0,0,0,success
case_015,5,177362,b2a_w4,78844,3443760,2.2495307188879305,4,85038,3345456,b2a_w4,78844,3443760,2.2495307188879305,4,85038,3345456,b2a_w4,78844,3443760,2.2495307188879305,officially_measured_after_fallback,True,0,0,0,0,success
case_016,1,7715523,single_core_baseline,7715523,0,1.0,,,,single_core_baseline,7715523,0,1.0,,,,single_core_baseline,7715523,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_016,2,7715523,single,7715523,0,1.0,,,,single,7715523,0,1.0,,,,single,7715523,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_016,3,7715523,single,7715523,0,1.0,2,7715523,0,single,7715523,0,1.0,2,7715523,0,single,7715523,0,1.0,officially_measured_after_fallback,True,0,0,0,0,success
case_016,4,7715523,single,7715523,0,1.0,2,7715523,0,single,7715523,0,1.0,2,7715523,0,single,7715523,0,1.0,officially_measured_after_fallback,True,0,0,0,0,success
case_016,5,7715523,single,7715523,0,1.0,2,7715523,0,single,7715523,0,1.0,2,7715523,0,single,7715523,0,1.0,officially_measured_after_fallback,True,0,0,0,0,success
case_017,1,162810,single_core_baseline,162810,22528,1.0,,,,single_core_baseline,162810,22528,1.0,,,,single_core_baseline,162810,22528,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_017,2,162810,b2a_w4,95785,2032660,1.6997442188234066,,,,b2a_w4,95785,2032660,1.6997442188234066,,,,b2a_w4,95785,2032660,1.6997442188234066,officially_measured_original,True,0,0,0,0,not_applicable
