case,cores,status,winner,t_i_1,t_i_k,speedup_t1_over_tk,added_copy_bytes,unique_plans,official_evaluations,cache_hits,failed_candidates,run_disposition,actual_wall_time_seconds,cold_cache_estimated_wall_time_seconds,peak_worker_rss_bytes
case_013,5,success,b1,263949,70094,3.765643279025309,360448,4,4,0,,executed,7.27465233951807,7.27465233951807,
case_014,2,success,b2a_w4,17698626,11873679,1.4905764253859313,265001472,6,0,6,,adopted_locked_development_manifest,65.8657643,2730.7519391999917,
case_014,3,success,b2a_w4,17698626,8687186,2.0373255505292507,262318608,6,1,5,,adopted_locked_development_manifest,120.89258279999999,2813.7514761999996,
case_014,4,success,b2a_w4,17698626,8237041,2.1486630939435654,266032656,6,6,0,,adopted_locked_development_manifest,606.0443607999999,606.0443607999999,
case_014,5,success,b2a_w4,17698626,6890740,2.5684652156372176,262318608,6,6,0,,adopted_locked_development_manifest,566.9122229,566.9122229,
case_015,2,success,b2a_w4,177362,113380,1.5643146939495503,3050540,6,6,0,,executed,2.8929235637187958,2.8929235637187958,
case_015,3,success,b2a_w4,177362,97318,1.8224994348424752,3214384,6,6,0,,executed,3.029528995975852,3.029528995975852,
case_015,4,success,b2a_w4,177362,85038,2.0856793433523837,3345456,6,6,0,,executed,3.1335866320878267,3.1335866320878267,
case_015,5,success,b2a_w4,177362,78844,2.2495307188879305,3443760,6,6,0,,executed,3.328436626121402,3.328436626121402,
case_016,2,success,single,7715523,7715523,1.0,0,6,6,0,,adopted_locked_development_manifest,59.03027880000013,59.03027880000013,
case_016,3,success,single,7715523,7715523,1.0,0,6,6,0,,adopted_locked_development_manifest,56.160426700000016,56.160426700000016,
case_016,4,success,single,7715523,7715523,1.0,0,6,6,0,,adopted_locked_development_manifest,55.62267709999992,55.62267709999992,
case_016,5,success,single,7715523,7715523,1.0,0,6,6,0,,adopted_locked_development_manifest,54.89227199999982,54.89227199999982,
case_017,2,success,b2a_w4,162810,95785,1.6997442188234066,2032660,6,6,0,,executed,4.2980394680053,4.2980394680053,
case_017,3,success,b2a_w4,162810,79783,2.0406602910394445,2091028,6,6,0,,executed,4.486303990706801,4.486303990706801,
case_017,4,success,b2a_w4,162810,79737,2.0418375409157608,2149396,6,6,0,,executed,4.547237211838365,4.547237211838365,
case_017,5,success,b1,162810,62170,2.618787196396976,936404,6,6,0,,executed,4.838753076270223,4.838753076270223,
case_018,2,success,b2a_w4,1004367,613121,1.6381220020191773,9836456,6,6,0,,executed,13.385223105549812,13.385223105549812,
case_018,3,success,b2a_w4,1004367,467483,2.148456735325135,9836456,6,6,0,,executed,13.558577056974173,13.558577056974173,
case_018,4,success,b2a_w4,1004367,393004,2.5556152100233076,9836456,6,6,0,,executed,13.31071432493627,13.31071432493627,
case_018,5,success,b2a_w4,1004367,323742,3.102368552736438,9836456,6,6,0,,executed,13.585431421175599,13.585431421175599,
case_019,2,success,b2a_w4,81144,46216,1.7557555824822573,1040000,6,6,0,,executed,1.3929337281733751,1.3929337281733751,
case_019,3,success,b2a_w4,81144,39913,2.033021822463859,1042592,6,6,0,,executed,1.4999219700694084,1.4999219700694084,
case_019,4,success,b1,81144,27047,3.0001109180315746,266552,6,6,0,,executed,1.565496014431119,1.565496014431119,
case_019,5,success,b1,81144,24792,3.2729912875121006,378136,6,6,0,,executed,1.6633887235075235,1.6633887235075235,
case_020,2,success,b0,532746,267708,1.9900264467255369,0,6,6,0,,executed,36.80915918573737,36.80915918573737,116432896
case_020,3,success,b0,532746,179492,2.96807657165779,0,6,6,0,,executed,34.677395734936,34.677395734936,142970880
case_020,4,success,b0,532746,135660,3.9270676691729323,0,6,6,0,,executed,34.47145863994956,34.47145863994956,238657536
case_020,5,success,b1,532746,139208,3.8269783345784725,598016,6,6,0,,executed,37.67689264751971,37.67689264751971,248127488
case_021,2,success,b0,6567937,3102580,2.1169275248341703,6656000,5,5,0,,executed,25.363392746075988,25.363392746075988,164732928
case_021,3,success,b2a_w4,6567937,2822635,2.3268814423402246,72744960,5,5,0,,executed,24.469220455735922,24.469220455735922,159633408
case_021,4,success,b0,6567937,1557596,4.216714090174859,9523200,5,5,0,,executed,23.08381354250014,23.08381354250014,154394624
case_021,5,success,b0,6567937,1249504,5.256435353548288,8908800,5,5,0,,executed,21.75046444311738,21.75046444311738,173928448
case_022,2,success,b2a_w4,56780,34100,1.6651026392961876,1346040,6,6,0,,executed,3.444082397967577,3.444082397967577,
case_022,3,success,b2a_w4,56780,29789,1.9060727114035383,1346040,6,6,0,,executed,3.630771715193987,3.630771715193987,
case_022,4,success,b2a_w4,56780,28322,2.0048019207683074,1346040,6,6,0,,executed,3.783363724127412,3.783363724127412,
case_022,5,success,b2a_w4,56780,28919,1.9634150558456378,1346040,6,6,0,,executed,3.9861381500959396,3.9861381500959396,
case_023,2,success,b2a_w4,122614,72315,1.6955541727165873,1782584,6,6,0,,executed,2.53245753236115,2.53245753236115,
case_023,3,success,b2a_w4,122614,52621,2.330134357005758,1791800,6,6,0,,executed,2.705538660287857,2.705538660287857,
case_023,4,success,b2a_w4,122614,43979,2.788012460492508,1840952,6,6,0,,executed,2.7983737643808126,2.7983737643808126,
case_023,5,success,b2a_w4,122614,43602,2.8121187101509104,1890104,6,6,0,,executed,3.021627863869071,3.021627863869071,
case_024,2,success,single,2555343,2555343,1.0,0,6,6,0,,executed,19.911525966599584,19.911525966599584,126169088
case_024,3,success,single,2555343,2555343,1.0,0,6,6,0,,executed,19.741265688091516,19.741265688091516,
case_024,4,success,single,2555343,2555343,1.0,0,6,6,0,,executed,19.283533675596118,19.283533675596118,
case_024,5,success,single,2555343,2555343,1.0,0,6,6,0,,executed,19.999314203858376,19.999314203858376,135622656
case_025,2,success,b1,4863026,2969082,1.637888748104633,20616192,5,5,0,,adopted_locked_development_manifest,137.43608240000003,137.43608240000003,
case_025,3,success,b1,4863026,2051388,2.3706027333688215,20699136,5,5,0,,adopted_locked_development_manifest,145.58875080000007,145.58875080000007,
case_025,4,success,b1,4863026,1562605,3.112127505031662,20795904,5,5,0,,adopted_locked_development_manifest,126.06444859999988,126.06444859999988,
case_025,5,success,b0,4863026,979918,4.962686673782908,694272,5,5,0,,adopted_locked_development_manifest,139.38101429999983,139.38101429999983,
case_026,2,success,b2a_w4,99203,71676,1.3840476589095374,2249880,6,6,0,,executed,1.4595625512301922,1.4595625512301922,
case_026,3,success,b2a_w4,99203,66096,1.50089264100702,2323608,6,6,0,,executed,1.5701853148639202,1.5701853148639202,
case_026,4,success,b2a_w4,99203,65030,1.5254959249577118,2324760,6,6,0,,executed,1.6573321167379618,1.6573321167379618,
case_026,5,success,b1,99203,64735,1.5324476712751989,1166722,6,6,0,,executed,1.7665375843644142,1.7665375843644142,
case_027,2,success,b0,2363952,1119508,2.1115990238569085,3317760,6,6,0,,executed,5.2668753657490015,5.2668753657490015,
case_027,3,success,b0,2363952,750886,3.1482169064278733,4620288,6,6,0,,executed,5.242788773030043,5.242788773030043,
case_027,4,success,b0,2363952,565244,4.182179731231114,5529600,6,6,0,,executed,5.073574407026172,5.073574407026172,
case_027,5,success,b2a_w4,2363952,616065,3.8371795183949744,18481152,6,6,0,,executed,5.326489305123687,5.326489305123687,
case_028,2,success,b2a_w16,43836040,20389484,2.149933759971562,48190464,6,6,0,,executed,419.70689593441784,419.70689593441784,377737216
case_028,3,success,b2a_w16,43836040,13744872,3.189265058270459,52442112,6,6,0,,executed,372.82927937991917,372.82927937991917,367427584
case_028,4,success,b2a_w16,43836040,10285826,4.261790934437351,56736768,6,6,0,,executed,379.12659900821745,379.12659900821745,370380800
case_028,5,success,b2a_w16,43836040,8251690,5.312371162755751,61025280,6,6,0,,executed,375.52630117349327,375.52630117349327,368914432
case_029,2,success,b1,37555,25272,1.4860319721430832,270490,6,6,0,,executed,2.461660087108612,2.461660087108612,
case_029,3,success,b0,37555,13976,2.6871064682312538,122958,6,6,0,,executed,2.5613627526909113,2.5613627526909113,
case_029,4,success,b1,37555,15575,2.41123595505618,409772,6,6,0,,executed,2.63644702732563,2.63644702732563,
case_029,5,success,b1,37555,15605,2.4066004485741748,397516,6,6,0,,executed,2.8758814688771963,2.8758814688771963,
case_030,2,success,b2a_w4,2808034,2200787,1.2759226585762276,66977792,6,6,0,,executed,136.18632714822888,136.18632714822888,300285952
case_030,3,success,b2a_w4,2808034,1723596,1.6291718012805785,66977792,6,6,0,,executed,127.62293571606278,127.62293571606278,320774144
case_030,4,success,b1,2808034,1386306,2.0255513573482333,19053060,6,6,0,,executed,118.67346554994583,118.67346554994583,301334528
case_030,5,success,b1,2808034,1519378,1.848147070709198,20673540,6,6,0,,executed,128.57206145860255,128.57206145860255,319619072
case_031,2,success,b1,1414369,866386,1.6324929073184469,5059588,6,6,0,,executed,42.58397602662444,42.58397602662444,168267776
case_031,3,success,b2a_w4,1414369,697002,2.029217993635599,17801292,6,6,0,,executed,40.45813254080713,40.45813254080713,255332352
case_031,4,success,b2a_w4,1414369,583325,2.424667209531565,17828940,6,6,0,,executed,40.92184167355299,40.92184167355299,190230528
