cores,case_count,pre_fallback_arithmetic_mean_speedup,final_arithmetic_mean_speedup,final_minus_pre_fallback,value_kind
1,100,1.0,1.0,0.0,officially_measured
2,100,1.6333714824904058,1.6333714824904058,0.0,officially_measured
3,100,2.100149424887468,2.105011719362695,0.004862294475227014,officially_measured
4,100,2.540919501296545,2.569760685588289,0.028841184291743982,officially_measured
5,100,2.8091349220391777,2.8905370454749484,0.08140212343577069,officially_measured
