case,cores,makespan_cycles,added_copy_bytes,speedup_t1_over_tk,selected_plan,reported_value_kind,officially_measured
case_017,4,79737,2149396,2.0418375409157608,b2a_w4,officially_measured_after_fallback,True
case_017,5,62170,936404,2.618787196396976,b1,officially_measured_after_fallback,True
case_018,1,1004367,1970176,1.0,single_core_baseline,officially_measured_original,True
case_018,2,613121,9836456,1.6381220020191771,b2a_w4,officially_measured_original,True
case_018,3,467483,9836456,2.148456735325135,b2a_w4,officially_measured_after_fallback,True
case_018,4,393004,9836456,2.555615210023308,b2a_w4,officially_measured_after_fallback,True
case_018,5,323742,9836456,3.102368552736438,b2a_w4,officially_measured_after_fallback,True
case_019,1,81144,0,1.0,single_core_baseline,officially_measured_original,True
case_019,2,46216,1040000,1.7557555824822573,b2a_w4,officially_measured_original,True
case_019,3,39913,1042592,2.033021822463859,b2a_w4,officially_measured_after_fallback,True
case_019,4,27047,266552,3.0001109180315746,b1,officially_measured_after_fallback,True
case_019,5,24792,378136,3.272991287512101,b1,officially_measured_after_fallback,True
case_020,1,532746,0,1.0,single_core_baseline,officially_measured_original,True
case_020,2,267708,0,1.9900264467255369,b0,officially_measured_original,True
case_020,3,179492,0,2.96807657165779,b0,officially_measured_after_fallback,True
case_020,4,135660,0,3.927067669172932,b0,officially_measured_after_fallback,True
case_020,5,135660,0,3.927067669172932,inherit_k4,officially_measured_after_fallback,True
case_021,1,6567937,4501504,1.0,single_core_baseline,officially_measured_original,True
case_021,2,3102580,6656000,2.1169275248341703,b0,officially_measured_original,True
case_021,3,2822635,72744960,2.3268814423402246,b2a_w4,officially_measured_after_fallback,True
case_021,4,1557596,9523200,4.216714090174859,b0,officially_measured_after_fallback,True
case_021,5,1249504,8908800,5.256435353548288,b0,officially_measured_after_fallback,True
case_022,1,56780,0,1.0,single_core_baseline,officially_measured_original,True
case_022,2,34100,1346040,1.6651026392961876,b2a_w4,officially_measured_original,True
case_022,3,29789,1346040,1.9060727114035385,b2a_w4,officially_measured_after_fallback,True
case_022,4,28322,1346040,2.0048019207683074,b2a_w4,officially_measured_after_fallback,True
case_022,5,28322,1346040,2.0048019207683074,inherit_k4,officially_measured_after_fallback,True
case_023,1,122614,0,1.0,single_core_baseline,officially_measured_original,True
case_023,2,72315,1782584,1.6955541727165873,b2a_w4,officially_measured_original,True
case_023,3,52621,1791800,2.330134357005758,b2a_w4,officially_measured_after_fallback,True
case_023,4,43979,1840952,2.788012460492508,b2a_w4,officially_measured_after_fallback,True
case_023,5,43602,1890104,2.8121187101509104,b2a_w4,officially_measured_after_fallback,True
case_024,1,2555343,0,1.0,single_core_baseline,officially_measured_original,True
case_024,2,2555343,0,1.0,single,officially_measured_original,True
case_024,3,2555343,0,1.0,single,officially_measured_after_fallback,True
case_024,4,2555343,0,1.0,single,officially_measured_after_fallback,True
case_024,5,2555343,0,1.0,single,officially_measured_after_fallback,True
case_025,1,4863026,0,1.0,single_core_baseline,officially_measured_original,True
case_025,2,2969082,20616192,1.637888748104633,b1,officially_measured_original,True
case_025,3,2051388,20699136,2.370602733368821,b1,officially_measured_after_fallback,True
case_025,4,1562605,20795904,3.112127505031662,b1,officially_measured_after_fallback,True
case_025,5,979918,694272,4.962686673782908,b0,officially_measured_after_fallback,True
case_026,1,99203,0,1.0,single_core_baseline,officially_measured_original,True
case_026,2,71676,2249880,1.3840476589095374,b2a_w4,officially_measured_original,True
case_026,3,66096,2323608,1.50089264100702,b2a_w4,officially_measured_after_fallback,True
case_026,4,65030,2324760,1.5254959249577118,b2a_w4,officially_measured_after_fallback,True
case_026,5,64735,1166722,1.5324476712751989,b1,officially_measured_after_fallback,True
case_027,1,2363952,1400832,1.0,single_core_baseline,officially_measured_original,True
case_027,2,1119508,3317760,2.1115990238569085,b0,officially_measured_original,True
case_027,3,750886,4620288,3.1482169064278733,b0,officially_measured_after_fallback,True
case_027,4,565244,5529600,4.182179731231114,b0,officially_measured_after_fallback,True
case_027,5,565244,5529600,4.182179731231114,inherit_k4,officially_measured_after_fallback,True
case_028,1,43836040,277412256,1.0,single_core_baseline,officially_measured_original,True
case_028,2,20389484,48190464,2.149933759971562,b2a_w16,officially_measured_original,True
case_028,3,13744872,52442112,3.189265058270459,b2a_w16,officially_measured_after_fallback,True
case_028,4,10285826,56736768,4.261790934437351,b2a_w16,officially_measured_after_fallback,True
case_028,5,8251690,61025280,5.312371162755751,b2a_w16,officially_measured_after_fallback,True
case_029,1,37555,0,1.0,single_core_baseline,officially_measured_original,True
case_029,2,25272,270490,1.4860319721430832,b1,officially_measured_original,True
case_029,3,13976,122958,2.6871064682312538,b0,officially_measured_after_fallback,True
case_029,4,13976,122958,2.6871064682312538,inherit_k3,officially_measured_after_fallback,True
case_029,5,13976,122958,2.6871064682312538,inherit_k3,officially_measured_after_fallback,True
case_030,1,2808034,5519360,1.0,single_core_baseline,officially_measured_original,True
case_030,2,2200787,66977792,1.2759226585762276,b2a_w4,officially_measured_original,True
case_030,3,1723596,66977792,1.6291718012805785,b2a_w4,officially_measured_after_fallback,True
case_030,4,1386306,19053060,2.0255513573482333,b1,officially_measured_after_fallback,True
case_030,5,1386306,19053060,2.0255513573482333,inherit_k4,officially_measured_after_fallback,True
case_031,1,1414369,3491328,1.0,single_core_baseline,officially_measured_original,True
case_031,2,866386,5059588,1.6324929073184469,b1,officially_measured_original,True
case_031,3,697002,17801292,2.029217993635599,b2a_w4,officially_measured_after_fallback,True
case_031,4,583325,17828940,2.424667209531565,b2a_w4,officially_measured_after_fallback,True
case_031,5,481753,17856588,2.935880004898776,b2a_w4,officially_measured_after_fallback,True
case_032,1,41443,0,1.0,single_core_baseline,officially_measured_original,True
case_032,2,27012,266406,1.5342440396860657,b0,officially_measured_original,True
case_032,3,25171,1045676,1.646458225735966,b2a_w4,officially_measured_after_fallback,True
case_032,4,21007,399580,1.97281858428143,b1,officially_measured_after_fallback,True
case_032,5,21007,399580,1.97281858428143,inherit_k4,officially_measured_after_fallback,True
case_033,1,1774196,4592640,1.0,single_core_baseline,officially_measured_original,True
case_033,2,1086331,6924292,1.6332001940476706,b1,officially_measured_original,True
case_033,3,724891,9530372,2.44753487075988,b1,officially_measured_after_fallback,True
case_033,4,538947,10082308,3.291967484743398,b1,officially_measured_after_fallback,True
case_033,5,538947,10082308,3.291967484743398,inherit_k4,officially_measured_after_fallback,True
case_034,1,842996,1079832,1.0,single_core_baseline,officially_measured_original,True
case_034,2,596520,15055988,1.413189834372695,b2a_w4,officially_measured_original,True
case_034,3,438919,15055988,1.920618610723163,b2a_w4,officially_measured_after_fallback,True
case_034,4,381731,15060596,2.208350906790384,b2a_w4,officially_measured_after_fallback,True
case_034,5,363718,15069812,2.3177186721581005,b2a_w4,officially_measured_after_fallback,True
case_035,1,169571,0,1.0,single_core_baseline,officially_measured_original,True
case_035,2,106131,525204,1.5977518349963724,b2a_w4,officially_measured_original,True
case_035,3,99355,529812,1.706718333249459,b2a_w4,officially_measured_after_fallback,True
case_035,4,98103,534420,1.7284996381354292,b2a_w4,officially_measured_after_fallback,True
case_035,5,97043,534420,1.7473800274105291,b2a_w4,officially_measured_after_fallback,True
case_036,1,931510,0,1.0,single_core_baseline,officially_measured_original,True
case_036,2,467772,8064,1.9913761405128996,b0,officially_measured_original,True
case_036,3,390499,147840,2.3854350459284146,b1,officially_measured_after_fallback,True
case_036,4,236236,17280,3.943133138048392,b0,officially_measured_after_fallback,True
case_036,5,190308,21888,4.894749563864893,b0,officially_measured_after_fallback,True
case_037,1,210001,0,1.0,single_core_baseline,officially_measured_original,True
case_037,2,133437,1595392,1.5737838830309434,b1,officially_measured_original,True
case_037,3,91873,1978368,2.2857749284338165,b1,officially_measured_after_fallback,True
case_037,4,70758,2191360,2.9678764238672657,b1,officially_measured_after_fallback,True
case_037,5,46592,1925120,4.507233001373627,b0,officially_measured_after_fallback,True
case_038,1,1364555,5627904,1.0,single_core_baseline,officially_measured_original,True
case_038,2,1008722,22607872,1.3527562599011422,b2a_w4,officially_measured_original,True
case_038,3,795870,22706176,1.7145450890220764,b2a_w4,officially_measured_after_fallback,True
case_038,4,754961,10424836,1.8074509809115968,b1,officially_measured_after_fallback,True
case_038,5,737342,11362820,1.850640544008072,b1,officially_measured_after_fallback,True
case_039,1,1435262,7929856,1.0,single_core_baseline,officially_measured_original,True
case_039,2,870099,13533184,1.6495387306501903,b1,officially_measured_original,True
case_039,3,702273,15388672,2.043737976541886,b1,officially_measured_after_fallback,True
case_039,4,565084,16969728,2.539909110857854,b1,officially_measured_after_fallback,True
case_039,5,537968,18665472,2.667931921601285,b1,officially_measured_after_fallback,True
case_040,1,253454,0,1.0,single_core_baseline,officially_measured_original,True
case_040,2,147941,847184,1.7132099958767346,b2a_w4,officially_measured_original,True
case_040,3,133644,871760,1.8964861871838616,b2a_w4,officially_measured_after_fallback,True
case_040,4,127075,896336,1.9945229195357077,b2a_w4,officially_measured_after_fallback,True
case_040,5,119987,920912,2.112345504096277,b2a_w4,officially_measured_after_fallback,True
case_041,1,6003957,30898176,1.0,single_core_baseline,officially_measured_original,True
case_041,2,3673618,21554184,1.6343443983560622,b1,officially_measured_original,True
case_041,3,3425567,106948624,1.752689992634796,b2a_w4,officially_measured_after_fallback,True
case_041,4,2164802,28938252,2.773443945450901,b1,officially_measured_after_fallback,True
case_041,5,2012046,31777808,2.984005832868632,b1,officially_measured_after_fallback,True
case_042,1,1686740,6629376,1.0,single_core_baseline,officially_measured_original,True
case_042,2,1007984,19385376,1.6733797361862888,b2a_w4,officially_measured_original,True
case_042,3,756202,19459104,2.2305415748702067,b2a_w4,officially_measured_after_fallback,True
case_042,4,623840,19532832,2.7038022569889715,b2a_w4,officially_measured_after_fallback,True
case_042,5,565621,19606560,2.9821028568599823,b2a_w4,officially_measured_after_fallback,True
case_043,1,677656,49160,1.0,single_core_baseline,officially_measured_original,True
case_043,2,349722,2549426,1.9376990867031527,b2a_w4,officially_measured_original,True
case_043,3,286671,5522026,2.3638805459917465,b2a_w8,officially_measured_after_fallback,True
