case,cores,winner,unique_candidates,evaluations,cache_hits,winner_makespan,winner_added_bytes,single_makespan,single_added_bytes,b0_makespan,b0_added_bytes,improvement_vs_single,improvement_vs_b0,total_wall_time,evaluation_time,max_memory_bytes,failed_candidates
case_036,2,b0,3,3,0,467772,8064,931510,0,467772,8064,0.4978346985002845,0.0,3.1087947000000895,2.475235800000519,13440,
case_036,3,b1,4,4,0,390499,147840,931510,0,391128,98688,0.5807892561539866,0.001608169192693952,3.731502299999647,3.023204199999782,13440,
case_036,4,b0,3,3,0,236236,17280,931510,0,236236,17280,0.7463945636654464,0.0,2.9295114000001377,2.235954500000389,13440,
case_036,5,b0,3,3,0,190308,21888,931510,0,190308,21888,0.7956994557224292,0.0,2.939342399999987,2.206307900000411,13440,
case_056,2,b2a_w16,6,6,0,210518,2913858,277285,0,278301,477448,0.24078835854806427,0.2435600303268763,13.184600800000226,12.220847299999605,125826,
case_056,3,b2a_w16,6,6,0,182132,3059426,277285,0,280123,650860,0.34315956506843137,0.3498141887670773,12.89386790000026,11.908680900000036,125826,
case_056,4,b2a_w16,6,6,0,164272,3187008,277285,0,279593,762860,0.4075698288764268,0.4124602547274073,12.973250100000314,11.950376099999175,125826,
case_056,5,b2a_w16,6,6,0,160648,3267474,277285,0,282797,926772,0.4206394143210055,0.43193173902127674,12.99701849999974,11.987890099999731,125826,
case_055,2,b2a_w4,6,6,0,71645,1977060,118835,69632,125181,434852,0.39710522994067404,0.42766873567074876,1.3880608999998003,1.1103901999999835,69654,
case_055,3,b2a_w4,6,6,0,60780,2001636,118835,69632,125450,692402,0.4885345226574662,0.5155041849342368,1.452100900000005,1.150742799999989,46592,
case_055,4,b2a_w4,6,6,0,52781,2018020,118835,69632,120590,851682,0.555846341566037,0.5623103076540343,1.491736100000253,1.1799928000004911,57356,
case_055,5,b1,6,6,0,46207,894358,118835,69632,129836,869626,0.6111667438044347,0.6441125727841277,1.576745899999878,1.248300100000506,40960,
