case,cores,winner,baseline_makespan,winner_makespan,strict_improvement,official_calls,candidate_cache_hits,failures
case_030,5,baseline,1344466,1344466,False,1,0,0
case_031,2,baseline,857784,857784,False,1,0,0
case_031,3,mapping_locality_one_move,657311,655951,True,1,0,0
case_031,4,mapping_locality_one_move,532183,531061,True,1,0,0
case_031,5,mapping_locality_one_move,449159,446054,True,1,0,0
case_032,2,baseline,20735,20735,False,1,0,0
case_032,3,mapping_locality_one_move,17020,16825,True,1,0,0
case_032,4,baseline,17051,17051,False,1,0,0
case_032,5,baseline,17051,17051,False,1,0,0
case_033,2,baseline,1095391,1095391,False,1,0,0
case_033,3,baseline,747062,747062,False,1,0,0
case_033,4,mapping_locality_one_move,553918,552539,True,1,0,0
case_033,5,mapping_locality_one_move,553918,552539,True,1,0,0
case_034,2,baseline,547274,547274,False,1,0,0
case_034,3,mapping_locality_one_move,389230,386889,True,1,0,0
case_034,4,baseline,338076,338076,False,1,0,0
case_034,5,mapping_locality_one_move,286564,279271,True,1,0,0
case_035,2,baseline,105261,105261,False,0,0,0
case_035,3,mapping_locality_one_move,98946,98946,False,1,0,0
case_035,4,baseline,93256,93256,False,1,0,0
case_035,5,baseline,93256,93256,False,1,0,0
case_036,2,baseline,466068,466068,False,0,0,0
case_036,3,mapping_locality_one_move,388000,386836,True,1,0,0
case_036,4,baseline,233584,233584,False,0,0,0
case_036,5,baseline,187182,187182,False,0,0,0
case_037,2,baseline,120651,120651,False,0,0,0
case_037,3,mapping_locality_one_move,87034,82197,True,1,0,0
case_037,4,mapping_locality_one_move,67669,67237,True,1,0,0
case_037,5,baseline,43013,43013,False,1,0,0
case_038,2,baseline,931959,931959,False,1,0,0
case_038,3,baseline,697347,697347,False,1,0,0
case_038,4,mapping_locality_one_move,687987,687539,True,1,0,0
case_038,5,mapping_locality_one_move,687987,687539,True,1,0,0
case_039,2,baseline,865287,865287,False,1,0,0
case_039,3,baseline,688780,688780,False,1,0,0
case_039,4,baseline,536614,536614,False,1,0,0
case_039,5,baseline,504978,504978,False,1,0,0
case_040,2,baseline,145181,145181,False,1,0,0
case_040,3,mapping_locality_one_move,127290,120858,True,1,0,0
case_040,4,mapping_locality_one_move,123583,123583,False,1,0,0
case_040,5,mapping_locality_one_move,121292,121291,True,1,0,0
case_041,2,baseline,3711448,3711448,False,1,0,0
case_041,3,mapping_locality_one_move,3303843,3293350,True,1,0,0
case_041,4,baseline,2174005,2174005,False,1,0,0
case_041,5,mapping_balanced_one_move,2035206,1775966,True,2,0,0
case_042,2,mapping_locality_one_move,973036,971504,True,1,0,0
case_042,3,mapping_locality_one_move,715422,713764,True,1,0,0
