case,cores,plan_sha256,graph_sha256,no_l2_source,same_core_speedup,no_l2_makespan,no_l2_added_copy_bytes,no_l2_scheduled_copy_bytes,no_l2_spill_added_copy_bytes,no_l2_partition_added_copy_bytes,no_l2_cross_task_traffic_bytes,no_l2_cross_core_transfer_count,no_l2_copy_in_hits,no_l2_copy_in_misses,no_l2_cache_hit_bytes,no_l2_cache_miss_bytes,no_l2_cache_hit_rate_bytes,l2_makespan,l2_added_copy_bytes,l2_scheduled_copy_bytes,l2_spill_added_copy_bytes,l2_partition_added_copy_bytes,l2_cross_task_traffic_bytes,l2_cross_core_transfer_count,l2_copy_in_hits,l2_copy_in_misses,l2_cache_hit_bytes,l2_cache_miss_bytes,l2_cache_hit_rate_bytes
case_004,2,153efedc0481ace780237a398af087e89467a9caa35bb18429ab91d7799f258b,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0131748538861367,216172,2909184,3701760,995328,1913856,768000,139,,,,,,213361,2909184,3701760,995328,1913856,768000,139,58,418,211968,1944576,0.09829059829059829
case_004,3,f6f1db5950bf65b3b0192fd002fe999a00e76b8035899cab3429d3ce94b09d4e,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0,143994,2350080,3142656,2128896,221184,0,0,,,,,,143994,2350080,3142656,2128896,221184,0,0,0,354,0,1861632,0.0
case_004,4,69c434d6e8615b7209d08951fc7c987b18e03aef48b0a325161c03c2d3e3f20f,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0170072276255913,113976,3446784,4239360,196608,3250176,1277952,222,,,,,,112070,3446784,4239360,196608,3250176,1277952,222,33,490,202752,2319360,0.08038976857490865
case_004,5,c1a364a4a28a8184781c5258eabee020929416cb0071c1e5fa284f4c30261158,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,stage1_verified_reuse,1.0310652892303522,98907,4343808,5136384,73728,4270080,1643520,290,,,,,,95927,4343808,5136384,73728,4270080,1643520,290,51,569,359424,2755584,0.11538461538461539
case_005,1,211f957dba459390e4ce523f4c2fef4afd01dd3b8380d80aabdd3d6e313d3a13,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,stage1_verified_reuse,1.0,95618,0,333414,0,0,0,0,,,,,,95618,0,333414,0,0,0,0,0,89,0,318822,0.0
case_005,2,0bc1229d27f960c7b32b1aef068c522fe1efba4c1a8bef9db01419446685db0d,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,stage1_verified_reuse,1.0007265329845976,55096,900134,1233548,0,900134,396640,450,,,,,,55056,900134,1233548,0,900134,396640,450,32,540,104550,717766,0.12714090446981452
case_005,3,a61d86b6672cee10d7d998f78bb688a212b77f68a2d32b497abd6f77f5b84803,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,stage1_verified_reuse,1.0024297273801297,44970,1381610,1715024,0,1381610,590528,663,,,,,,44861,1381610,1715024,0,1381610,590528,663,74,735,173866,936038,0.15664958410817512
case_005,4,d67fbcb4581fb9e196d4241d4cca146a36a85b9a98b14a25f20329434c0d2049,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,stage1_verified_reuse,1.096143566246659,43062,1945102,2278516,0,1945102,779632,817,,,,,,39285,1945102,2278516,0,1945102,779632,817,165,850,359914,1124378,0.24248193751633776
case_005,5,3a53e350beff4e28d6500f9395f55618e923d136a1a7ed4b5d6102518772016a,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,stage1_verified_reuse,1.096143566246659,43062,1945102,2278516,0,1945102,779632,817,,,,,,39285,1945102,2278516,0,1945102,779632,817,165,850,359914,1124378,0.24248193751633776
case_006,1,f88394e2c9cc3a1bd23c7d4e85f870f94e95b020d1b8db96ceeeb36638bb08b9,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,stage1_verified_reuse,1.0,82837,16400,559748,16400,0,0,0,,,,,,82837,16400,559748,16400,0,0,0,9,135,16384,543272,0.029275126148920052
case_006,2,d1ec5fab933db69826fe80efaed554d9f5705d63697974c3f185b60b51d25599,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,stage1_verified_reuse,1.0,45613,1178898,1722246,207912,970986,347058,85,,,,,,45613,1178898,1722246,207912,970986,347058,85,35,234,288134,988646,0.2256723946177102
case_006,3,55571497af5ddcbcddcc992555b09294c046a8240c7a0c6429c38c1d2b696373,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,stage1_verified_reuse,1.036608818011257,44201,1404444,1947792,0,1404444,578760,132,,,,,,42640,1404444,1947792,0,1404444,578760,132,37,263,246924,1122024,0.18037500328719572
case_006,4,71a9a99beb424ac3074da84ef28a72bb4e5ac692aa8058054010b2f7888396c6,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,stage1_verified_reuse,1.036608818011257,44201,1404444,1947792,0,1404444,578760,132,,,,,,42640,1404444,1947792,0,1404444,578760,132,37,263,246924,1122024,0.18037500328719572
case_006,5,1e55583c4e6fb7bda3d84714ca3d148463dd4a0d92861f1544f6ef8d9205839c,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,stage1_verified_reuse,1.0008310019113045,36131,503232,1046580,0,503232,146974,36,,,,,,36101,503232,1046580,0,503232,146974,36,25,168,199942,699580,0.22227583094132217
case_007,1,daec296d7670a2cdf14726837593f233992cb2924cc05aea99b64cd3d98ba3dc,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,stage1_verified_reuse,1.0,1012562,0,1732608,0,0,0,0,,,,,,1012562,0,1732608,0,0,0,0,0,558,0,880128,0.0
