case,cores,plan_sha256,graph_sha256,no_l2_source,same_core_speedup,no_l2_makespan,no_l2_added_copy_bytes,no_l2_scheduled_copy_bytes,no_l2_spill_added_copy_bytes,no_l2_partition_added_copy_bytes,no_l2_cross_task_traffic_bytes,no_l2_cross_core_transfer_count,no_l2_copy_in_hits,no_l2_copy_in_misses,no_l2_cache_hit_bytes,no_l2_cache_miss_bytes,no_l2_cache_hit_rate_bytes,l2_makespan,l2_added_copy_bytes,l2_scheduled_copy_bytes,l2_spill_added_copy_bytes,l2_partition_added_copy_bytes,l2_cross_task_traffic_bytes,l2_cross_core_transfer_count,l2_copy_in_hits,l2_copy_in_misses,l2_cache_hit_bytes,l2_cache_miss_bytes,l2_cache_hit_rate_bytes
case_013,3,599b8f0dd860297b60ccd13cb38de35ddcc0c894b049b1476cc1803dc20bb2a6,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,stage1_verified_reuse,1.0008852730899394,89317,53248,2580480,0,53248,18432,9,,,,,,89238,53248,2580480,0,53248,18432,9,6,999,12288,2045952,0.005970149253731343
case_013,4,c9d7ef4191c852f9a0f449ca02122f268a95a282617d11b77e0ae91d5ca376f5,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,stage1_verified_reuse,1.0,83671,143360,2670592,0,143360,59392,29,,,,,,83671,143360,2670592,0,143360,59392,29,0,1029,0,2107392,0.0
case_013,5,a27a7f9ff04b306fa25c53bab995d0eca4d3b801c03bbdf95611a51eca5d7d77,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,stage1_verified_reuse,1.00430149428216,67008,188416,2715648,0,188416,77824,38,,,,,,66721,188416,2715648,0,188416,77824,38,11,1031,22528,2111488,0.01055662188099808
case_014,1,c623ac4e30dda9460f0d4aae5e350a7afd8481b58e14bd20816733a7f1450e54,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,stage1_verified_reuse,1.0005101301883446,17698626,71010720,80943460,71010720,0,0,0,,,,,,17689602,71010720,80943460,71010720,0,0,0,1801,11987,9944064,70961016,0.12291025483195864
case_014,2,6fcc4879f589807dd396932441e710a410abea907287727fedfc288db370e797,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,stage1_verified_reuse,1.0017827227553213,11605741,271040064,280972804,147495792,123544272,60725760,10604,,,,,,11585088,271040064,280972804,147495792,123544272,60725760,10604,411,25592,2857824,153174456,0.018315594696174407
case_014,3,c8890b1e96c73caf327997b56e85d96db64d95ce31a678a33778aa8fc27678b7,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,stage1_verified_reuse,1.0023000252868277,8569571,266112576,276045316,89363616,176748960,86281728,15141,,,,,,8549906,266112576,276045316,89363616,176748960,86281728,15141,74,24677,1814976,150098904,0.011947400724673743
case_014,4,f31214d69936466e12c750db21d4f59d73f21174abfcc3b24cbb45b7bbe2ae60,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,stage1_verified_reuse,1.001166829647393,7306925,260873880,270806620,70573608,190300272,92011008,16122,,,,,,7298409,260873880,270806620,70573608,190300272,92011008,16122,141,24352,944832,147129648,0.00638078891109393
case_014,5,9e1b9ab268fcdb4a5d254ec68325d403408ffdf9320d7af0140f6d72c447796d,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,stage1_verified_reuse,1.001173505094973,6514638,258576288,268509028,46509600,212066688,102893568,18040,,,,,,6507002,258576288,268509028,46509600,212066688,102893568,18040,35,23727,595728,145124328,0.004088167520330901
case_015,1,192472c06a1727349dfc6dd1658dac61ace67d2c8749562f39e0d37b55dbf02c,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,stage1_verified_reuse,1.0,177362,180256,1064870,180256,0,0,0,,,,,,177362,180256,1064870,180256,0,0,0,22,219,180224,884498,0.1692685978123867
case_015,2,fd24b601c215f73e33a922f63ebc8733fe9a149eb174c5f5cd4e6d94610c2b20,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,stage1_verified_reuse,1.0289843649941381,104445,2119358,3003972,786604,1332754,480516,154,,,,,,101503,2119358,3003972,786604,1332754,480516,154,51,422,404490,1741916,0.18844990183590615
case_015,3,c7ce257b9d4395e05f38bec4410e56bf2431e02615e755446622b82c44947206,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,stage1_verified_reuse,1.0533059455668141,84097,2193056,3077670,375598,1817458,682834,200,,,,,,79841,2193056,3077670,375598,1817458,682834,200,64,448,459984,1828842,0.20096940527589252
case_015,4,54d16cd6bf6b7bb30607e97df30c3a5318c11e5c3ef74e519e490f88130c0b6a,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,stage1_verified_reuse,1.0476071862253635,67292,2446438,3331052,16396,2430042,885702,229,,,,,,64234,2446438,3331052,16396,2430042,885702,229,28,497,206864,2230156,0.08488399766928462
case_015,5,dacb8b26e91c812962c692df154d67b81293286e6fa096748330d6fa591ac0c4,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,stage1_verified_reuse,1.1217067682187987,64801,2420572,3305186,81920,2338652,835400,234,,,,,,57770,2420572,3305186,81920,2338652,835400,234,54,462,549068,1879626,0.22607541337031342
case_016,1,19d365422ae9ccef1999767d13ce89179d5ab1c75a35ee55f2d898297a4e7d23,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,stage1_verified_reuse,1.0,7715523,0,393218,0,0,0,0,,,,,,7715523,0,393218,0,0,0,0,0,12,0,393216,0.0
case_016,2,b55c744114415dff6852866d041da3f439fa36550d735c5787a02f3e8122947d,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,stage1_verified_reuse,1.0,7715523,0,393218,0,0,0,0,,,,,,7715523,0,393218,0,0,0,0,0,12,0,393216,0.0
case_016,3,d621805a2401ba70420001dd02676f36d610545cb2aed1f512ed1df122f12059,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,stage1_verified_reuse,1.0,7715523,0,393218,0,0,0,0,,,,,,7715523,0,393218,0,0,0,0,0,12,0,393216,0.0
case_016,4,79eea49e61dcfb92d9a1274f3c0c0e73b7d460de5a594a6954a885dd67426284,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,stage1_verified_reuse,1.0,7715523,0,393218,0,0,0,0,,,,,,7715523,0,393218,0,0,0,0,0,12,0,393216,0.0
case_016,5,793e41a521e93389af87b2734a3b39f43d9976d50792c51d9bf0ddcb6aae15ed,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,stage1_verified_reuse,1.0,7715523,0,393218,0,0,0,0,,,,,,7715523,0,393218,0,0,0,0,0,12,0,393216,0.0
case_017,1,11a9cba3896d9529e81ee2fbba62f805bc189c615225dbff3efd738ec6cdd340,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,stage1_verified_reuse,1.0,162810,22528,666390,22528,0,0,0,,,,,,162810,22528,666390,22528,0,0,0,11,257,22528,535118,0.040398388942088706
case_017,2,fa8504395264d2a9c9ad371718e771a3c339df9367e0795e0e4404f7b6e9e258,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,stage1_verified_reuse,1.0105881131705516,87619,1067284,1711146,43036,1024248,383868,196,,,,,,86701,1067284,1711146,43036,1024248,383868,196,106,467,270848,933336,0.2249224371026355
case_017,3,3519dfe0df3d069a14090dc25ea3898e18d95e3383ba685efe7b31dc115d6085,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,stage1_verified_reuse,1.0125410146390712,64187,1392040,2035902,94264,1297776,501176,276,,,,,,63392,1392040,2035902,94264,1297776,501176,276,97,571,290816,1088034,0.21091199187728904
case_017,4,89c1f05d18bdf8374fdb00b5c15ec2ede51a672119cb1078df94f400ffa74cdd,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,stage1_verified_reuse,1.0367943803718276,61400,1489064,2132926,0,1489064,590676,325,,,,,,59221,1489064,2132926,0,1489064,590676,325,96,582,307712,1125794,0.21465693202539787
case_017,5,1b6467db0947d3b62d367efe6ee475cb6355e57324f1fc6272f7ef94d7eab662,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,stage1_verified_reuse,1.0,60625,403724,1047586,47116,356608,93184,12,,,,,,60625,403724,1047586,47116,356608,93184,12,32,281,84228,756306,0.10020772508905053
case_018,1,890ceb0b49b4b6001da4358bccb39342fc92672fd85ec2418c40c0c47eea5675,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,stage1_verified_reuse,1.0012531028501361,1004367,1970176,3563024,1970176,0,0,0,,,,,,1003110,1970176,3563024,1970176,0,0,0,225,549,1224704,2338068,0.34375031576536474
case_018,2,274c31977d6b7eb3194fe976e764dbeb68d8d13ee86f56fc3f6cd3e6dc3ef1b9,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,stage1_verified_reuse,1.0002488104287603,582918,7888080,9480928,2981120,4906960,2428392,651,,,,,,582773,7888080,9480928,2981120,4906960,2428392,651,2,1482,16384,5545340,0.002945849164755389
case_018,3,51d4228bf793e75faf91419983d27f24cadd3b50d67785bd2a73b008da7f304d,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,stage1_verified_reuse,1.0,419178,7371192,8964040,671744,6699448,3315932,905,,,,,,419178,7371192,8964040,671744,6699448,3315932,905,3,1428,24576,5287408,0.004626519959397468
case_018,4,4ce7a85ccd2eaefaae5e53450f53a4504bc25962e66dd3c508451afc52707fec,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,stage1_verified_reuse,1.000767793910363,349320,7117472,8710320,0,7117472,3521872,956,,,,,,349052,7117472,8710320,0,7117472,3521872,956,4,1393,32768,5155428,0.0063158754989210125
case_018,5,d1e976e3ef3d42a6e4955829aeda3cdf987deb1f3156597f258e7f56337df76c,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,stage1_verified_reuse,1.001436525495706,286518,7652228,9245076,0,7652228,3792322,1024,,,,,,286107,7652228,9245076,0,7652228,3792322,1024,3,1465,24576,5427926,0.004507288580545225
case_019,1,6edfe829f9c086542ff575000b32c8fd979560192429da428b1387bc6d93cca7,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,stage1_verified_reuse,1.0,81144,0,186984,0,0,0,0,,,,,,81144,0,186984,0,0,0,0,0,88,0,179252,0.0
case_019,2,09ff006bf5fd74269d93d86452d5f490b8866870205a7b64f7da9990cfd1e856,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,stage1_verified_reuse,1.0,41969,451616,638600,0,451616,195072,67,,,,,,41969,451616,638600,0,451616,195072,67,28,156,58880,376916,0.13510908773829958
case_019,3,db9a8cf869f5a267be3ee310fb19b5e8d236ebfdc9144f3289f5126910859163,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,stage1_verified_reuse,1.003482077542063,34294,722508,909492,0,722508,305670,104,,,,,,34175,722508,909492,0,722508,305670,104,46,192,111168,484922,0.1864953278867285
case_019,4,15d106e158b22ecd3efe5c1c2602779fc6d9fc98637092ede2c484bdf16eb114,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,stage1_verified_reuse,1.0,25339,177208,364192,0,177208,58380,22,,,,,,25339,177208,364192,0,177208,58380,22,16,111,52256,245824,0.17530864197530865
case_019,5,e170df954a7375cfb83666e48472d0196d639eb2d611d907c64f14ff748d0b2b,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,stage1_verified_reuse,1.0,22886,212240,399224,0,212240,83976,30,,,,,,22886,212240,399224,0,212240,83976,30,16,118,44288,263228,0.14401852261345752
case_020,1,bbd6b9684fa70e119fd0e3f4f7d4a94282385196530028c52aa36ef7ca17c648,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,stage1_verified_reuse,1.0,532746,0,2359296,0,0,0,0,,,,,,532746,0,2359296,0,0,0,0,0,288,0,1179648,0.0
case_020,2,7fe90a407b60b73b158647bd676f7085a9ef2ff0ee43950aa8166eec24911a49,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,stage1_verified_reuse,1.0,266580,0,2359296,0,0,0,0,,,,,,266580,0,2359296,0,0,0,0,0,288,0,1179648,0.0
case_020,3,f7e9e2943f31131516ed74de98bb1cd05f6d746a412bd2a20ecc8e5b71378ae8,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,stage1_verified_reuse,1.0,177950,0,2359296,0,0,0,0,,,,,,177950,0,2359296,0,0,0,0,0,288,0,1179648,0.0
case_020,4,ae42d840608e31567d96f4f5ad92cd0dceb32609e97625b84d95c9ac163ada01,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,stage1_verified_reuse,1.0,133704,0,2359296,0,0,0,0,,,,,,133704,0,2359296,0,0,0,0,0,288,0,1179648,0.0
case_020,5,07387acb8285e53d1eafc149cde8e60e606474d2842a892766e01417db5e2510,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,stage1_verified_reuse,1.0,133566,466944,2826240,0,466944,204800,50,,,,,,133566,466944,2826240,0,466944,204800,50,14,338,57344,1384448,0.03977272727272727
case_021,1,f348d8199a95196945fe11a61f21e5764ab4819e1e2976958b4ced376a8e9830,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,stage1_verified_reuse,1.0013874410966457,6567937,4501504,7839744,4501504,0,0,0,,,,,,6558837,4501504,7839744,4501504,0,0,0,838,711,3432448,3424256,0.5005973715651135
case_021,2,726787668fed95a619a7a74ddbfa8a8bd6531a1fb03d801558c71dd96421fd2c,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,stage1_verified_reuse,1.0005165327830288,3215396,5017600,8355840,3276800,1740800,0,0,,,,,,3213736,5017600,8355840,3276800,1740800,0,0,759,841,3379200,3993600,0.4583333333333333
case_021,3,17b53882f27237c5f0c58553a8637d2c1fb12b54684f1982af6b489d69e57896,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,stage1_verified_reuse,1.0,2784961,65814528,69152768,29122560,36691968,18345984,1493,,,,,,2784961,65814528,69152768,29122560,36691968,18345984,1493,0,3128,0,35262464,0.0
case_021,4,86784ee1d8bfdff132b7542730007dab8e150b5aa259cc07832574b6f164750c,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,stage1_verified_reuse,1.0024656913683767,1588859,6635520,9973760,2027520,4608000,0,0,,,,,,1584951,6635520,9973760,2027520,4608000,0,0,940,955,4392960,4597760,0.4886104783599089
case_021,5,3e9a04b5d345dbfd1b91e2afab02074bbff2b94469984ebd8a9e4bd72c76b833,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,stage1_verified_reuse,1.0,1271102,6840320,10178560,2027520,4812800,0,0,,,,,,1271102,6840320,10178560,2027520,4812800,0,0,190,1805,829440,8366080,0.09020044543429843
case_022,1,bdc9c153727b9f7ea40409a9ffa15959f9bc5fe680e565eb6da09692918d3411,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,stage1_verified_reuse,1.0,56780,0,213686,0,0,0,0,,,,,,56780,0,213686,0,0,0,0,0,138,0,213540,0.0
case_022,2,a67eaa0b1b0f41939aa67cd5821a444128f623f08262e46c659029849df7fb08,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,stage1_verified_reuse,1.004702302745315,29058,693464,907150,8192,685272,296044,137,,,,,,28922,693464,907150,8192,685272,296044,137,39,278,93184,513680,0.1535500540483535
case_022,3,1701b6521e7c2600f2fb303a6adf693af36e481524413c995f64e9fe4e1abbf1,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,stage1_verified_reuse,1.098820419950076,22450,893256,1106942,0,893256,377124,234,,,,,,20431,893256,1106942,0,893256,377124,234,79,372,139008,590664,0.19050751570568694
case_022,4,eb53adb601a80c0e97e694390d8894e08c790d7e745d19b315b5d55ffbebfa4d,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,stage1_verified_reuse,1.1348605784181611,21896,931884,1145570,0,931884,391318,222,,,,,,19294,931884,1145570,0,931884,391318,222,75,360,149248,604858,0.19791382113389894
case_022,5,a0c6cafcad10da8832b6aafdf709ae9eb1c62434a84304cb3f6db8e732d7d0a5,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,stage1_verified_reuse,1.1621606948968513,21407,989652,1203338,0,989652,408810,209,,,,,,18420,989652,1203338,0,989652,408810,209,87,347,172032,622350,0.2165607982053974
case_023,1,aa6e813822e96d6a1e60ea550fc498a806911951f3abc724b7d89438f2f8be11,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,stage1_verified_reuse,1.0,122614,0,443444,0,0,0,0,,,,,,122614,0,443444,0,0,0,0,0,134,0,434122,0.0
case_023,2,accf6bad6eb903c3f64dba6c8ffd194be036bd5b7a5a10505f0bc36df006c32b,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,stage1_verified_reuse,1.0,57858,1109964,1553408,0,1109964,518886,169,,,,,,57858,1109964,1553408,0,1109964,518886,169,27,303,72192,953008,0.07041747951619197
case_023,3,df50fd0006d6efc582517bcf19729087281a58291c8b69eb9aa7fe6a3ad4885c,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,stage1_verified_reuse,1.0018904570762657,38688,1128212,1571656,0,1128212,516106,164,,,,,,38615,1128212,1571656,0,1128212,516106,164,31,300,92928,953300,0.08882193938606116
case_023,4,26ce634626b0117ebdb18f7ca7259b3979ac2393eb30e76dadb26b2a4b7884ae,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,stage1_verified_reuse,1.0737745502558178,32530,1233352,1676796,0,1233352,499812,178,,,,,,30295,1233352,1676796,0,1233352,499812,178,70,315,189696,977966,0.1624579715705401
case_023,5,20b01486fc5696826c92713a87c040f3c4d05ab389207a23429522978fcc7502,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,stage1_verified_reuse,1.0737745502558178,32530,1233352,1676796,0,1233352,499812,178,,,,,,30295,1233352,1676796,0,1233352,499812,178,70,315,189696,977966,0.1624579715705401
case_024,1,3f6ba4b0f374750256c442f6bff12ee90e8c8c76c00655298e84b9a94fbfee98,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,stage1_verified_reuse,1.0,2555343,0,393218,0,0,0,0,,,,,,2555343,0,393218,0,0,0,0,0,12,0,393216,0.0
case_024,2,7575ea468b2b1b95503e973398a82e06775b29fc6c7fe982dcb65169902b81f8,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,stage1_verified_reuse,1.0,2555343,0,393218,0,0,0,0,,,,,,2555343,0,393218,0,0,0,0,0,12,0,393216,0.0
case_024,3,a4c60b29ca4fa882988fcd0c25a2ea4141ac5009962d58baf54bf79a190a46d6,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,stage1_verified_reuse,1.0,2555343,0,393218,0,0,0,0,,,,,,2555343,0,393218,0,0,0,0,0,12,0,393216,0.0
case_024,4,1516a8076ea383054198d2b974151207227c6716b693193b6b8cdfd9f40ff5e0,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,stage1_verified_reuse,1.0,2555343,0,393218,0,0,0,0,,,,,,2555343,0,393218,0,0,0,0,0,12,0,393216,0.0
case_024,5,5a416d7a43b6f6e573ee8f48545355e85f6d14bf18e13f549525b06f90123ebc,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,stage1_verified_reuse,1.0,2555343,0,393218,0,0,0,0,,,,,,2555343,0,393218,0,0,0,0,0,12,0,393216,0.0
case_025,1,866297d2cabe14158ebe6e57cc86e522d8f888041f24e5804988ac43e71152bd,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,stage1_verified_reuse,1.0,4863026,0,8217600,0,0,0,0,,,,,,4863026,0,8217600,0,0,0,0,0,2669,0,4122624,0.0
case_025,2,7b77196c53149c7d50ac2dfbed30f85b6dca4a66ea055e5834969aedd2b3e521,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,stage1_verified_reuse,1.0,2972392,18301440,26519040,11410944,6890496,2744832,894,,,,,,2972392,18301440,26519040,11410944,6890496,2744832,894,10,6912,15360,14582784,0.0010521885521885522
case_025,3,f2c16ec8dd40187f4ae4eac0d4e1b37f37258368e3054eca18e1c200911bf8d3,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,stage1_verified_reuse,1.0,2049989,18369024,26586624,10025472,8343552,3317760,1081,,,,,,2049989,18369024,26586624,10025472,8343552,3317760,1081,0,6938,0,14651904,0.0
case_025,4,5b055a2b43cfc60c1538eefbdd859aa3b9b75b7fd9501cf3937014bb68cc0e16,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,stage1_verified_reuse,1.0,1560638,18659328,26876928,2912256,15747072,6266880,2042,,,,,,1560638,18659328,26876928,2912256,15747072,6266880,2042,53,7179,112128,14946816,0.0074459404324765405
case_025,5,02bda3afc8ca92da3acec269f780bf26666cb510dc11ca40237abfafe72901b1,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,stage1_verified_reuse,1.0,975534,264192,8481792,0,264192,67584,22,,,,,,975534,264192,8481792,0,264192,67584,22,5,2710,7680,4311552,0.0017780938833570413
case_026,1,72df6606789136b3baf9eec24a43a369cf39c1f1f97d61801ffdf8d829ab4062,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,stage1_verified_reuse,1.0,99203,0,528854,0,0,0,0,,,,,,99203,0,528854,0,0,0,0,0,102,0,488886,0.0
case_026,2,5c68e0680b202cd26c31715c68276cf458c40b811950d0e568e12ac7876c3bfe,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,stage1_verified_reuse,1.0,64737,1162372,1691226,218624,943748,317186,59,,,,,,64737,1162372,1691226,218624,943748,317186,59,39,170,358528,890808,0.2869748410355581
case_026,3,2d3b3a1f542d5c293babf86ed05d6f9176d2d110c177025abb0ae34b515aa8b6,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,stage1_verified_reuse,1.0261760242792108,54100,1137420,1666274,98304,1039116,360198,79,,,,,,52720,1137420,1666274,98304,1039116,360198,79,39,186,292096,924860,0.24002182494683455
case_026,4,724c0e32e011a58ac8edad9aa9b61e7aff589e387d05dd67bc8edb543dae0dad,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,stage1_verified_reuse,1.0261760242792108,54100,1137420,1666274,98304,1039116,360198,79,,,,,,52720,1137420,1666274,98304,1039116,360198,79,39,186,292096,924860,0.24002182494683455
case_026,5,f3f8f720c635b421d1578d3a48a180a1a7cec8298793f305eaa97041929d05f0,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,stage1_verified_reuse,1.0261760242792108,54100,1137420,1666274,98304,1039116,360198,79,,,,,,52720,1137420,1666274,98304,1039116,360198,79,39,186,292096,924860,0.24002182494683455
case_027,1,795174b3004f23842aeac7961da65580892080295f6415d4f180741be99b0bec,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,stage1_verified_reuse,1.0018804711985303,2363952,1400832,3440640,1400832,0,0,0,,,,,,2359515,1400832,3440640,1400832,0,0,0,213,489,872448,2371584,0.2689393939393939
case_027,2,c0791d300d0dcb880ea17e8b967a295ea730add0bc932972221985d6bbb687a6,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,stage1_verified_reuse,1.0,1120962,1744896,3784704,638976,1105920,0,0,,,,,,1120962,1744896,3784704,638976,1105920,0,0,78,618,319488,3268608,0.08904109589041095
case_027,3,1dbef9609aa80ac72108e3a5bbf73bda929669ce8aa965b62a469424d7afc7fe,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,stage1_verified_reuse,1.0,744579,3883008,5922816,0,3883008,98304,8,,,,,,744579,3883008,5922816,0,3883008,98304,8,433,655,2115584,3512320,0.37590975254730713
case_027,4,8c404abe83e94c1b7508f9d1b384d41ff5790821af6858e42abeb6908c104db5,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,stage1_verified_reuse,1.0,559196,3317760,5357568,0,3317760,0,0,,,,,,559196,3317760,5357568,0,3317760,0,0,0,900,0,5160960,0.0
case_027,5,d35f3c868d43055cb1cdbfb885acd44622935ad4bd248a12efd53de24efcaafa,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,stage1_verified_reuse,1.0,559196,3317760,5357568,0,3317760,0,0,,,,,,559196,3317760,5357568,0,3317760,0,0,0,900,0,5160960,0.0
case_028,1,d987ac1dfa4f0a2dfb2368b3f01660689355e74c99c9b7c2c84696b3fdadeb73,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,stage1_verified_reuse,1.0,43836040,277412256,283320864,277412256,0,0,0,,,,,,43836040,277412256,283320864,277412256,0,0,0,0,8497,0,278067744,0.0
case_028,2,24df3cf9e16cc4738e8ee3d80eb83d9189e33f3ddba1633d10a78ed417537f92,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,stage1_verified_reuse,1.000311422774637,20313124,33610752,39519360,12192768,21417984,9639936,1491,,,,,,20306800,33610752,39519360,12192768,21417984,9639936,1491,50,3129,2136168,19766808,0.0975286645979067
case_028,3,6b30d2959d500b3f648f1d63e0ac8bd3c7913a734bcba5948bbdb0d327bb4c64,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,stage1_verified_reuse,0.9999990505804021,13692563,25918464,31827072,17379840,8538624,2131200,943,,,,,,13692576,25918464,31827072,17379840,8538624,2131200,943,149,2441,4304112,14821776,0.22504115887325074
case_028,4,679074308e524377d1b6b3123fca2ac5eb4b6507851225e0b0b383a7436ea6c9,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,stage1_verified_reuse,1.00041637125931,10209084,33845760,39754368,6237696,27608064,10596864,2102,,,,,,10204835,33845760,39754368,6237696,27608064,10596864,2102,142,2928,6396840,17761752,0.2647852987458872
case_028,5,31af9b336c06b46042f99e93ef0a54471a6646bb450f1b26ca7ae628f90ae3df,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,stage1_verified_reuse,1.0002640117200112,8157094,41620992,47529600,2463744,39157248,15302400,2842,,,,,,8154941,41620992,47529600,2463744,39157248,15302400,2842,292,3250,8620032,20495232,0.2960657337676897
